geo_code1,geo_code2,all,bicycle,foot,dist,slope
E02000001,E02000002,74,0,1,19.9,0.69
E02000001,E02000003,212,2,2,18.9,0.67
E02000001,E02000008,156,1,0,19.4,0.76
E02000001,E02000009,119,2,0,18.5,0.78
E02000001,E02000012,227,1,0,16.3,0.81
E02000001,E02000013,103,1,0,17.9,0.79
E02000001,E02000014,121,0,0,19.1,0.77
E02000001,E02000016,213,2,0,13.9,0.87
E02000001,E02000017,145,1,1,15.1,0.84
E02000001,E02000018,125,1,0,16.9,0.82
E02000001,E02000019,118,0,2,18.2,0.78
E02000001,E02000020,127,1,2,15.3,0.86
E02000001,E02000021,106,0,0,19.8,0.77
E02000001,E02000022,116,3,1,15.1,0.91
E02000001,E02000023,63,2,0,16.4,0.82
E02000001,E02000024,214,6,0,19.4,2.08
E02000001,E02000025,181,2,0,19.4,1.66
E02000001,E02000026,112,1,0,18.7,1.66
E02000001,E02000027,93,1,1,18.8,1.93
E02000001,E02000028,168,2,1,18.5,1.58
E02000001,E02000029,190,1,1,17.5,1.47
E02000001,E02000030,214,1,1,19.8,1.94
E02000001,E02000031,226,8,1,15.6,2.16
E02000001,E02000032,166,3,0,15.7,1.48
E02000001,E02000033,164,0,3,15.2,1.78
E02000001,E02000034,149,4,3,14.4,2.22
E02000001,E02000035,248,5,0,14.6,2.02
E02000001,E02000036,193,1,1,19.2,1.96
E02000001,E02000038,264,4,2,13.2,2.1
E02000001,E02000039,173,5,0,17.3,1.9
E02000001,E02000040,119,3,0,15.6,2.24
E02000001,E02000041,152,0,2,19.1,2.08
E02000001,E02000042,277,5,1,13.3,2.02
E02000001,E02000043,290,2,1,14.5,1.96
E02000001,E02000044,134,0,1,17.5,1.92
E02000001,E02000045,192,9,2,11.8,2.07
E02000001,E02000046,231,5,1,13.4,1.97
E02000001,E02000047,127,1,0,17.5,2.11
E02000001,E02000048,273,3,3,14.3,1.99
E02000001,E02000049,60,0,0,16.8,2.17
E02000001,E02000050,252,8,3,12.1,2.07
E02000001,E02000051,242,5,3,13,1.87
E02000001,E02000052,354,13,0,11,1.97
E02000001,E02000053,156,0,0,15.8,2.34
E02000001,E02000054,149,1,0,15.2,2.26
E02000001,E02000055,226,1,1,13.5,2.33
E02000001,E02000056,347,13,1,10.7,1.97
E02000001,E02000057,155,1,2,12.8,2.28
E02000001,E02000058,314,11,1,12,2.31
E02000001,E02000059,124,0,1,14.8,1.6
E02000001,E02000060,162,2,1,11.9,2.24
E02000001,E02000061,369,8,0,10.8,2.36
E02000001,E02000062,87,0,3,13,1.81
E02000001,E02000063,157,2,1,11.6,2.23
E02000001,E02000064,128,2,0,10.4,2.31
E02000001,E02000065,108,2,1,19.4,1.07
E02000001,E02000066,130,1,0,19.2,1.09
E02000001,E02000070,159,1,1,19.2,1.45
E02000001,E02000080,257,2,2,19.9,1.37
E02000001,E02000082,258,0,1,18.6,1.37
E02000001,E02000089,263,3,1,19.8,1.04
E02000001,E02000093,155,0,2,18.1,1.57
E02000001,E02000094,85,2,1,16.8,1.78
E02000001,E02000095,146,0,3,18,1.76
E02000001,E02000096,166,1,1,19.4,1.81
E02000001,E02000097,97,1,0,16.4,1.76
E02000001,E02000098,110,0,0,18.1,1.76
E02000001,E02000099,152,0,0,18.5,1.66
E02000001,E02000101,121,0,0,16,1.74
E02000001,E02000102,59,1,0,15,1.61
E02000001,E02000103,70,0,0,13.5,1.69
E02000001,E02000104,101,0,1,17.9,1.74
E02000001,E02000105,115,2,0,19.7,1.23
E02000001,E02000106,100,2,0,14.4,1.55
E02000001,E02000107,194,5,1,12.1,1.59
E02000001,E02000109,160,0,0,16.9,1.25
E02000001,E02000110,197,5,0,12.5,1.65
E02000001,E02000111,85,1,5,18.5,1.23
E02000001,E02000112,105,1,0,17,1.28
E02000001,E02000113,48,0,2,15.3,1.48
E02000001,E02000114,187,11,0,12.4,1.6
E02000001,E02000115,333,13,1,10.8,1.64
E02000001,E02000116,91,0,0,12.8,1.6
E02000001,E02000117,74,1,1,14.2,1.21
E02000001,E02000118,77,0,0,17.6,1.23
E02000001,E02000119,52,0,1,14.5,1.27
E02000001,E02000120,279,20,0,9.8,1.58
E02000001,E02000121,97,0,2,17.9,1.23
E02000001,E02000122,172,10,0,11.8,1.34
E02000001,E02000123,136,9,1,13.2,1.23
E02000001,E02000124,285,21,1,10.8,1.18
E02000001,E02000125,173,15,0,12.1,1.19
