Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02001834,E02001834,77,0,0,1,5,0,2,30,5,2,31,1,Birmingham,Birmingham
E02001834,E02001837,18,0,0,0,4,0,0,6,2,0,6,0,Birmingham,Birmingham
E02001834,E02001839,86,0,0,0,5,0,0,37,7,0,37,0,Birmingham,Birmingham
E02001834,E02001840,15,0,0,0,3,1,0,9,0,0,1,1,Birmingham,Birmingham
E02001834,E02001843,42,0,0,0,9,0,0,23,4,0,6,0,Birmingham,Birmingham
E02001834,E02001845,15,0,0,0,1,0,0,12,1,0,1,0,Birmingham,Birmingham
E02001834,E02001848,29,0,0,0,6,0,0,19,2,1,1,0,Birmingham,Birmingham
E02001834,E02001849,18,0,0,0,6,0,0,12,0,0,0,0,Birmingham,Birmingham
E02001834,E02001850,24,0,0,0,7,0,0,14,3,0,0,0,Birmingham,Birmingham
E02001834,E02001851,13,0,0,0,2,0,0,10,1,0,0,0,Birmingham,Birmingham
E02001834,E02001854,35,0,0,0,10,0,0,21,2,2,0,0,Birmingham,Birmingham
E02001834,E02001855,29,0,0,0,5,0,0,21,3,0,0,0,Birmingham,Birmingham
E02001834,E02001856,17,0,0,0,5,0,0,12,0,0,0,0,Birmingham,Birmingham
E02001834,E02001857,33,0,0,0,8,0,0,21,2,1,1,0,Birmingham,Birmingham
E02001834,E02001859,114,0,0,0,21,0,1,81,9,1,1,0,Birmingham,Birmingham
E02001834,E02001863,41,0,0,0,8,0,0,31,1,0,1,0,Birmingham,Birmingham
E02001834,E02001869,30,0,0,0,2,0,0,27,1,0,0,0,Birmingham,Birmingham
E02001834,E02001873,21,0,0,0,4,0,0,17,0,0,0,0,Birmingham,Birmingham
E02001834,E02001875,28,0,0,0,4,0,0,22,2,0,0,0,Birmingham,Birmingham
E02001834,E02001876,93,0,0,1,33,0,0,51,7,0,1,0,Birmingham,Birmingham
E02001834,E02001878,18,0,0,0,3,0,0,11,3,0,1,0,Birmingham,Birmingham
E02001834,E02001884,13,0,0,0,4,0,0,8,1,0,0,0,Birmingham,Birmingham
E02001834,E02001904,14,0,0,1,0,0,0,9,3,0,1,0,Birmingham,Birmingham
E02001834,E02002089,21,0,0,1,3,0,0,15,0,1,1,0,Birmingham,Birmingham
E02001834,E02002148,25,0,0,0,1,0,0,15,1,0,8,0,Birmingham,Birmingham
E02001834,E02006895,12,0,0,1,3,0,0,8,0,0,0,0,Birmingham,Birmingham
E02001834,E02006896,30,0,0,0,14,1,0,14,0,1,0,0,Birmingham,Birmingham
E02001834,E02006897,18,0,0,0,7,0,0,10,1,0,0,0,Birmingham,Birmingham
E02001834,E02006898,27,0,0,1,9,0,0,16,0,0,1,0,Birmingham,Birmingham
E02001834,E02006899,112,0,1,2,60,0,0,39,8,0,2,0,Birmingham,Birmingham
E02001834,E02006900,18,0,0,0,5,0,0,11,0,0,2,0,Birmingham,Birmingham
E02001837,E02001834,43,0,0,0,4,0,1,18,5,2,13,0,Birmingham,Birmingham
E02001837,E02001837,129,0,0,1,18,1,0,27,3,0,79,0,Birmingham,Birmingham
E02001837,E02001839,54,0,0,0,13,1,0,22,7,0,11,0,Birmingham,Birmingham
E02001837,E02001840,65,0,0,0,10,2,1,23,5,0,24,0,Birmingham,Birmingham
E02001837,E02001843,87,0,0,0,17,3,0,29,6,0,32,0,Birmingham,Birmingham
E02001837,E02001845,24,0,0,0,7,1,0,12,4,0,0,0,Birmingham,Birmingham
E02001837,E02001848,56,0,0,0,24,1,1,21,4,0,5,0,Birmingham,Birmingham
E02001837,E02001849,52,0,0,0,25,0,0,21,2,0,4,0,Birmingham,Birmingham
E02001837,E02001850,49,0,0,0,24,0,0,19,3,0,3,0,Birmingham,Birmingham
E02001837,E02001851,25,0,0,0,6,0,0,11,3,0,5,0,Birmingham,Birmingham
E02001837,E02001852,14,0,0,0,3,0,0,11,0,0,0,0,Birmingham,Birmingham
E02001837,E02001854,46,0,0,0,13,0,0,30,2,1,0,0,Birmingham,Birmingham
E02001837,E02001855,57,0,0,0,11,0,3,32,8,0,3,0,Birmingham,Birmingham
E02001837,E02001856,28,0,0,0,6,0,0,18,2,2,0,0,Birmingham,Birmingham
E02001837,E02001857,37,0,0,1,13,0,0,17,3,2,1,0,Birmingham,Birmingham
E02001837,E02001859,141,0,0,1,46,0,1,74,11,3,5,0,Birmingham,Birmingham
E02001837,E02001861,11,0,0,0,3,0,0,6,1,0,1,0,Birmingham,Birmingham
E02001837,E02001863,60,0,0,0,20,0,1,27,9,1,2,0,Birmingham,Birmingham
E02001837,E02001869,82,0,0,0,19,0,3,53,5,0,2,0,Birmingham,Birmingham
E02001837,E02001873,36,0,0,0,10,0,0,24,2,0,0,0,Birmingham,Birmingham
E02001837,E02001874,12,0,0,0,3,0,0,4,0,4,1,0,Birmingham,Birmingham
E02001837,E02001875,42,0,0,0,15,0,0,22,5,0,0,0,Birmingham,Birmingham
E02001837,E02001876,150,0,0,2,65,1,3,62,10,5,2,0,Birmingham,Birmingham
E02001837,E02001878,28,0,0,2,4,0,0,15,7,0,0,0,Birmingham,Birmingham
E02001837,E02001879,13,0,0,0,2,0,0,10,1,0,0,0,Birmingham,Birmingham
E02001837,E02001890,19,0,0,0,6,0,0,12,0,0,1,0,Birmingham,Birmingham
E02001837,E02001892,14,0,0,0,5,0,0,9,0,0,0,0,Birmingham,Birmingham
E02001837,E02001895,11,0,0,0,7,0,0,4,0,0,0,0,Birmingham,Birmingham
E02001837,E02001897,15,0,0,0,2,0,2,10,0,1,0,0,Birmingham,Birmingham
E02001837,E02001904,25,0,0,0,2,0,1,19,3,0,0,0,Birmingham,Birmingham
E02001837,E02001905,11,0,0,1,3,0,0,7,0,0,0,0,Birmingham,Birmingham
E02001837,E02001913,13,0,0,0,6,0,0,5,2,0,0,0,Birmingham,Birmingham
E02001837,E02002089,44,0,0,5,7,0,0,28,1,1,2,0,Birmingham,Birmingham
E02001837,E02006809,12,0,0,0,4,1,0,5,2,0,0,0,Birmingham,Birmingham
E02001837,E02006895,18,0,0,0,8,0,0,8,1,0,1,0,Birmingham,Birmingham
E02001837,E02006896,56,0,0,1,24,1,0,27,2,0,1,0,Birmingham,Birmingham
E02001837,E02006897,27,0,0,1,15,1,0,8,0,0,2,0,Birmingham,Birmingham
E02001837,E02006898,40,0,0,0,15,0,0,19,6,0,0,0,Birmingham,Birmingham
E02001837,E02006899,192,0,0,5,112,2,3,44,14,1,10,1,Birmingham,Birmingham
E02001837,E02006900,33,0,0,0,8,0,2,19,3,0,0,1,Birmingham,Birmingham
E02001837,E02006901,17,0,0,0,4,0,2,9,1,0,1,0,Birmingham,Birmingham
E02001839,E02001834,40,0,0,0,2,0,0,18,2,3,15,0,Birmingham,Birmingham
E02001839,E02001837,17,0,0,0,2,0,0,12,1,0,2,0,Birmingham,Birmingham
E02001839,E02001839,156,0,0,0,10,2,1,57,9,0,77,0,Birmingham,Birmingham
E02001839,E02001840,17,0,0,0,0,0,1,14,2,0,0,0,Birmingham,Birmingham
E02001839,E02001842,16,0,0,0,3,0,0,12,0,0,1,0,Birmingham,Birmingham
E02001839,E02001843,48,0,0,0,10,0,0,28,1,0,9,0,Birmingham,Birmingham
E02001839,E02001845,23,0,0,0,0,0,0,8,0,1,14,0,Birmingham,Birmingham
E02001839,E02001848,32,0,0,0,3,0,0,18,4,0,7,0,Birmingham,Birmingham
E02001839,E02001849,21,0,0,1,7,0,0,12,1,0,0,0,Birmingham,Birmingham
E02001839,E02001850,48,0,0,0,14,0,1,31,1,0,1,0,Birmingham,Birmingham
E02001839,E02001851,12,0,0,0,1,0,0,10,1,0,0,0,Birmingham,Birmingham
E02001839,E02001852,12,0,0,0,4,0,0,6,1,0,1,0,Birmingham,Birmingham
E02001839,E02001854,32,0,0,0,6,0,0,24,1,0,1,0,Birmingham,Birmingham
E02001839,E02001855,22,0,0,0,3,0,1,17,0,1,0,0,Birmingham,Birmingham
E02001839,E02001856,24,0,0,0,1,0,0,18,5,0,0,0,Birmingham,Birmingham
E02001839,E02001857,30,0,0,0,8,0,0,17,4,0,1,0,Birmingham,Birmingham
E02001839,E02001859,137,0,0,0,38,0,0,79,8,2,10,0,Birmingham,Birmingham
E02001839,E02001863,45,0,0,0,6,1,0,32,4,1,1,0,Birmingham,Birmingham
E02001839,E02001867,15,0,0,0,0,0,0,9,6,0,0,0,Birmingham,Birmingham
E02001839,E02001869,39,0,0,0,4,0,0,30,2,1,1,1,Birmingham,Birmingham
E02001839,E02001873,30,0,0,0,5,0,0,24,1,0,0,0,Birmingham,Birmingham
E02001839,E02001874,14,0,0,0,3,0,0,8,1,1,1,0,Birmingham,Birmingham
E02001839,E02001875,38,0,0,0,6,0,0,28,3,0,0,1,Birmingham,Birmingham
E02001839,E02001876,132,0,0,1,46,0,0,76,9,0,0,0,Birmingham,Birmingham
E02001839,E02001878,25,0,0,1,7,0,2,13,2,0,0,0,Birmingham,Birmingham
E02001839,E02001890,13,0,0,0,4,0,0,9,0,0,0,0,Birmingham,Birmingham
E02001839,E02001892,14,0,0,0,5,0,0,9,0,0,0,0,Birmingham,Birmingham
E02001839,E02001897,23,0,0,0,4,0,0,18,1,0,0,0,Birmingham,Birmingham
E02001839,E02001900,13,0,0,0,1,0,0,12,0,0,0,0,Birmingham,Birmingham
E02001839,E02001913,23,0,0,0,9,0,1,11,1,0,1,0,Birmingham,Birmingham
E02001839,E02002089,16,0,0,1,3,0,0,12,0,0,0,0,Birmingham,Birmingham
E02001839,E02002148,28,0,0,0,3,0,0,18,2,0,5,0,Birmingham,Birmingham
E02001839,E02006809,15,0,0,0,3,1,0,11,0,0,0,0,Birmingham,Birmingham
E02001839,E02006895,14,0,0,0,6,0,0,7,1,0,0,0,Birmingham,Birmingham
E02001839,E02006896,59,0,1,1,22,0,0,30,2,1,2,0,Birmingham,Birmingham
E02001839,E02006897,20,0,0,1,13,0,0,6,0,0,0,0,Birmingham,Birmingham
E02001839,E02006898,39,0,0,1,11,1,1,24,1,0,0,0,Birmingham,Birmingham
E02001839,E02006899,189,0,0,3,95,0,0,71,11,4,4,1,Birmingham,Birmingham
E02001839,E02006900,15,0,0,0,2,0,0,13,0,0,0,0,Birmingham,Birmingham
E02001840,E02001834,27,0,0,0,5,1,1,13,2,0,5,0,Birmingham,Birmingham
E02001840,E02001837,39,0,0,0,4,0,0,7,4,0,24,0,Birmingham,Birmingham
E02001840,E02001839,29,0,0,0,10,1,0,12,4,0,2,0,Birmingham,Birmingham
E02001840,E02001840,96,0,0,0,6,0,1,31,4,0,54,0,Birmingham,Birmingham
E02001840,E02001843,56,0,0,0,13,1,0,21,1,0,19,1,Birmingham,Birmingham
E02001840,E02001846,14,0,0,0,1,0,0,10,0,0,3,0,Birmingham,Birmingham
E02001840,E02001848,49,0,0,0,14,0,0,25,2,0,8,0,Birmingham,Birmingham
E02001840,E02001849,45,0,0,1,15,2,0,20,3,0,4,0,Birmingham,Birmingham
E02001840,E02001850,31,0,0,0,8,0,0,21,2,0,0,0,Birmingham,Birmingham
E02001840,E02001851,24,0,0,0,5,0,1,10,6,2,0,0,Birmingham,Birmingham
E02001840,E02001852,26,0,0,0,6,2,0,11,3,0,4,0,Birmingham,Birmingham
E02001840,E02001854,44,0,0,1,13,0,0,27,2,1,0,0,Birmingham,Birmingham
E02001840,E02001855,52,0,0,0,9,2,1,33,4,2,1,0,Birmingham,Birmingham
E02001840,E02001856,17,0,0,0,4,1,0,12,0,0,0,0,Birmingham,Birmingham
E02001840,E02001857,47,0,0,0,13,0,0,31,1,1,1,0,Birmingham,Birmingham
E02001840,E02001859,109,0,0,0,29,0,0,50,14,6,10,0,Birmingham,Birmingham
E02001840,E02001863,37,0,0,0,12,0,1,21,2,0,1,0,Birmingham,Birmingham
E02001840,E02001869,55,0,0,0,10,0,0,34,4,1,6,0,Birmingham,Birmingham
E02001840,E02001873,29,0,0,0,8,0,0,20,0,0,1,0,Birmingham,Birmingham
E02001840,E02001875,30,0,0,1,16,0,1,12,0,0,0,0,Birmingham,Birmingham
E02001840,E02001876,152,0,2,3,58,0,4,68,11,1,5,0,Birmingham,Birmingham
E02001840,E02001878,43,0,0,0,9,1,0,27,2,1,2,1,Birmingham,Birmingham
E02001840,E02001879,13,0,0,0,2,0,0,9,2,0,0,0,Birmingham,Birmingham
E02001840,E02001890,19,0,0,1,8,0,1,6,3,0,0,0,Birmingham,Birmingham
E02001840,E02001892,11,0,0,0,2,0,0,9,0,0,0,0,Birmingham,Birmingham
E02001840,E02001896,13,0,0,0,2,0,1,10,0,0,0,0,Birmingham,Birmingham
E02001840,E02001897,11,0,0,0,0,0,0,10,1,0,0,0,Birmingham,Birmingham
E02001840,E02001904,13,0,0,1,1,0,0,10,0,0,1,0,Birmingham,Birmingham
E02001840,E02001905,14,0,0,0,3,0,0,11,0,0,0,0,Birmingham,Birmingham
E02001840,E02001913,21,0,0,1,5,0,0,14,0,0,1,0,Birmingham,Birmingham
E02001840,E02002089,40,0,0,1,7,0,0,29,1,1,1,0,Birmingham,Birmingham
E02001840,E02006895,13,0,0,1,4,0,0,7,0,0,1,0,Birmingham,Birmingham
E02001840,E02006896,40,0,0,1,18,0,0,21,0,0,0,0,Birmingham,Birmingham
E02001840,E02006897,19,0,0,0,9,0,0,9,1,0,0,0,Birmingham,Birmingham
E02001840,E02006898,24,0,0,0,9,0,2,12,1,0,0,0,Birmingham,Birmingham
E02001840,E02006899,131,0,0,4,71,3,0,35,9,0,9,0,Birmingham,Birmingham
E02001840,E02006900,20,0,0,0,8,0,1,10,1,0,0,0,Birmingham,Birmingham
E02001842,E02001834,17,0,0,0,6,0,1,8,1,1,0,0,Birmingham,Birmingham
E02001842,E02001837,13,0,0,0,1,0,0,12,0,0,0,0,Birmingham,Birmingham
E02001842,E02001839,67,0,0,0,7,0,0,43,5,0,12,0,Birmingham,Birmingham
E02001842,E02001842,90,0,0,0,13,2,0,37,5,0,33,0,Birmingham,Birmingham
E02001842,E02001843,18,0,0,0,8,0,0,7,1,0,2,0,Birmingham,Birmingham
E02001842,E02001845,35,0,0,0,1,1,0,22,2,0,9,0,Birmingham,Birmingham
E02001842,E02001848,13,0,0,0,2,0,0,6,3,0,2,0,Birmingham,Birmingham
E02001842,E02001849,25,0,0,0,6,0,0,19,0,0,0,0,Birmingham,Birmingham
E02001842,E02001850,113,0,0,2,20,0,3,51,8,2,26,1,Birmingham,Birmingham
E02001842,E02001851,11,0,0,0,2,0,0,8,0,0,1,0,Birmingham,Birmingham
E02001842,E02001854,27,0,0,0,4,0,0,23,0,0,0,0,Birmingham,Birmingham
E02001842,E02001855,28,0,0,0,5,0,0,20,1,1,1,0,Birmingham,Birmingham
E02001842,E02001856,19,0,0,1,1,0,0,9,4,4,0,0,Birmingham,Birmingham
E02001842,E02001857,18,0,0,0,4,0,0,12,0,1,1,0,Birmingham,Birmingham
E02001842,E02001859,103,0,0,0,18,1,0,70,7,2,5,0,Birmingham,Birmingham
E02001842,E02001863,44,0,0,1,8,0,0,27,6,0,2,0,Birmingham,Birmingham
E02001842,E02001865,25,0,0,0,4,0,0,20,1,0,0,0,Birmingham,Birmingham
E02001842,E02001866,15,0,0,0,2,0,0,9,4,0,0,0,Birmingham,Birmingham
E02001842,E02001867,18,0,0,0,5,0,0,12,1,0,0,0,Birmingham,Birmingham
E02001842,E02001869,50,0,0,1,5,0,0,35,6,2,1,0,Birmingham,Birmingham
E02001842,E02001873,54,0,0,0,4,0,1,45,4,0,0,0,Birmingham,Birmingham
E02001842,E02001874,15,0,0,0,4,0,0,9,2,0,0,0,Birmingham,Birmingham
E02001842,E02001875,29,0,0,0,6,1,0,19,3,0,0,0,Birmingham,Birmingham
E02001842,E02001876,220,0,0,2,67,1,0,136,9,3,2,0,Birmingham,Birmingham
E02001842,E02001878,26,0,0,0,1,1,0,22,1,1,0,0,Birmingham,Birmingham
E02001842,E02001879,21,0,0,0,1,0,0,16,4,0,0,0,Birmingham,Birmingham
E02001842,E02001884,13,0,0,0,3,0,0,9,0,0,1,0,Birmingham,Birmingham
E02001842,E02001890,30,0,0,0,7,0,0,20,1,1,1,0,Birmingham,Birmingham
E02001842,E02001892,11,0,0,0,1,0,0,10,0,0,0,0,Birmingham,Birmingham
E02001842,E02001895,16,0,0,0,1,0,0,14,1,0,0,0,Birmingham,Birmingham
E02001842,E02001897,15,0,0,0,1,0,0,12,2,0,0,0,Birmingham,Birmingham
E02001842,E02001900,14,0,0,0,1,0,0,13,0,0,0,0,Birmingham,Birmingham
E02001842,E02001904,14,0,0,0,4,0,0,8,1,0,1,0,Birmingham,Birmingham
E02001842,E02001905,23,0,0,1,6,0,0,13,2,0,1,0,Birmingham,Birmingham
E02001842,E02001913,25,0,0,0,3,0,0,22,0,0,0,0,Birmingham,Birmingham
E02001842,E02002089,23,0,0,0,6,0,0,16,1,0,0,0,Birmingham,Birmingham
E02001842,E02002148,21,0,0,0,4,1,0,10,4,0,2,0,Birmingham,Birmingham
E02001842,E02006809,25,0,0,0,2,1,0,15,1,1,5,0,Birmingham,Birmingham
E02001842,E02006895,15,0,0,0,3,0,0,10,2,0,0,0,Birmingham,Birmingham
E02001842,E02006896,72,0,0,0,29,0,2,35,4,0,2,0,Birmingham,Birmingham
E02001842,E02006897,48,0,0,0,16,0,0,30,2,0,0,0,Birmingham,Birmingham
E02001842,E02006898,62,0,0,1,22,0,1,30,7,0,1,0,Birmingham,Birmingham
E02001842,E02006899,211,0,0,5,110,0,1,74,19,1,1,0,Birmingham,Birmingham
E02001842,E02006900,19,0,0,0,4,0,0,13,0,0,2,0,Birmingham,Birmingham
E02001843,E02001834,33,0,0,0,3,0,0,21,2,0,7,0,Birmingham,Birmingham
E02001843,E02001837,28,0,0,0,0,0,0,17,6,0,5,0,Birmingham,Birmingham
E02001843,E02001839,81,0,0,0,7,0,2,39,5,2,26,0,Birmingham,Birmingham
E02001843,E02001840,35,0,0,0,4,0,0,22,1,0,8,0,Birmingham,Birmingham
E02001843,E02001843,126,0,0,3,17,0,0,38,7,0,61,0,Birmingham,Birmingham
E02001843,E02001845,32,0,0,0,0,1,0,18,1,1,11,0,Birmingham,Birmingham
E02001843,E02001848,51,0,0,0,5,0,0,23,3,0,20,0,Birmingham,Birmingham
E02001843,E02001849,40,0,0,0,15,0,0,19,3,2,1,0,Birmingham,Birmingham
E02001843,E02001850,50,0,0,0,14,0,0,31,3,1,1,0,Birmingham,Birmingham
E02001843,E02001851,15,0,0,0,3,0,0,12,0,0,0,0,Birmingham,Birmingham
E02001843,E02001854,48,0,0,0,10,0,0,32,4,1,1,0,Birmingham,Birmingham
E02001843,E02001855,32,0,0,0,8,1,0,21,1,1,0,0,Birmingham,Birmingham
E02001843,E02001856,22,0,0,0,3,0,1,11,7,0,0,0,Birmingham,Birmingham
E02001843,E02001857,33,0,0,0,6,1,1,23,2,0,0,0,Birmingham,Birmingham
E02001843,E02001859,154,0,0,0,34,0,0,99,8,1,12,0,Birmingham,Birmingham
E02001843,E02001863,46,0,0,0,8,0,1,28,3,1,5,0,Birmingham,Birmingham
E02001843,E02001869,45,0,0,0,6,0,0,35,3,1,0,0,Birmingham,Birmingham
E02001843,E02001873,32,0,0,0,4,0,0,23,2,0,3,0,Birmingham,Birmingham
E02001843,E02001875,35,0,0,0,7,0,0,24,4,0,0,0,Birmingham,Birmingham
E02001843,E02001876,154,0,0,1,45,1,2,89,12,3,1,0,Birmingham,Birmingham
E02001843,E02001878,18,0,0,0,0,0,0,15,1,2,0,0,Birmingham,Birmingham
E02001843,E02001890,21,0,0,1,4,0,0,15,1,0,0,0,Birmingham,Birmingham
E02001843,E02001892,17,0,0,0,1,0,0,15,0,0,1,0,Birmingham,Birmingham
E02001843,E02001897,12,0,0,0,1,1,0,10,0,0,0,0,Birmingham,Birmingham
E02001843,E02001904,12,0,0,0,0,0,0,12,0,0,0,0,Birmingham,Birmingham
E02001843,E02001913,12,0,0,2,1,0,0,8,0,1,0,0,Birmingham,Birmingham
E02001843,E02002089,21,0,0,0,0,0,0,18,1,0,2,0,Birmingham,Birmingham
E02001843,E02002148,14,0,0,0,0,1,0,10,1,0,2,0,Birmingham,Birmingham
E02001843,E02006809,11,0,0,0,1,0,0,9,1,0,0,0,Birmingham,Birmingham
E02001843,E02006896,43,0,0,1,21,0,0,17,1,2,1,0,Birmingham,Birmingham
E02001843,E02006897,30,0,0,0,15,0,0,15,0,0,0,0,Birmingham,Birmingham
E02001843,E02006898,48,0,0,0,23,0,0,22,3,0,0,0,Birmingham,Birmingham
E02001843,E02006899,173,0,0,2,98,0,1,55,14,1,2,0,Birmingham,Birmingham
E02001843,E02006900,19,0,0,0,4,0,0,13,0,1,0,1,Birmingham,Birmingham
E02001845,E02001834,25,0,0,0,1,0,0,14,1,1,8,0,Birmingham,Birmingham
E02001845,E02001837,11,0,0,0,0,0,0,8,2,0,1,0,Birmingham,Birmingham
E02001845,E02001839,87,0,0,0,5,1,0,43,5,2,31,0,Birmingham,Birmingham
E02001845,E02001840,13,0,0,0,2,0,0,10,1,0,0,0,Birmingham,Birmingham
E02001845,E02001842,22,0,0,0,4,0,0,10,1,0,7,0,Birmingham,Birmingham
E02001845,E02001843,33,0,0,0,5,0,1,21,0,2,4,0,Birmingham,Birmingham
E02001845,E02001845,98,0,0,0,8,1,0,33,6,0,50,0,Birmingham,Birmingham
E02001845,E02001848,38,0,0,0,7,0,0,19,2,1,9,0,Birmingham,Birmingham
E02001845,E02001849,36,0,0,0,6,0,1,25,2,1,1,0,Birmingham,Birmingham
E02001845,E02001850,70,0,0,0,16,1,0,37,3,2,11,0,Birmingham,Birmingham
E02001845,E02001851,12,0,0,0,2,0,0,10,0,0,0,0,Birmingham,Birmingham
E02001845,E02001852,11,0,0,0,0,0,1,9,1,0,0,0,Birmingham,Birmingham
E02001845,E02001854,40,0,0,0,8,0,0,28,4,0,0,0,Birmingham,Birmingham
E02001845,E02001855,19,0,0,0,6,0,0,12,1,0,0,0,Birmingham,Birmingham
E02001845,E02001856,14,0,0,0,0,0,0,11,2,0,1,0,Birmingham,Birmingham
E02001845,E02001857,33,0,0,0,8,0,0,20,1,2,2,0,Birmingham,Birmingham
E02001845,E02001859,115,0,0,0,16,0,2,75,4,0,18,0,Birmingham,Birmingham
E02001845,E02001861,15,0,0,0,5,0,0,7,1,0,0,2,Birmingham,Birmingham
E02001845,E02001863,55,0,0,0,4,0,0,34,9,5,3,0,Birmingham,Birmingham
E02001845,E02001865,21,0,0,0,8,0,0,11,2,0,0,0,Birmingham,Birmingham
E02001845,E02001866,12,0,0,0,0,0,0,12,0,0,0,0,Birmingham,Birmingham
E02001845,E02001867,11,0,0,0,0,0,1,10,0,0,0,0,Birmingham,Birmingham
E02001845,E02001869,49,0,0,0,7,1,0,36,3,2,0,0,Birmingham,Birmingham
E02001845,E02001873,35,0,0,0,10,0,0,25,0,0,0,0,Birmingham,Birmingham
E02001845,E02001875,44,0,0,0,2,0,0,33,8,1,0,0,Birmingham,Birmingham
E02001845,E02001876,181,0,0,0,69,0,2,97,12,1,0,0,Birmingham,Birmingham
E02001845,E02001878,15,0,0,0,4,0,0,9,2,0,0,0,Birmingham,Birmingham
E02001845,E02001879,17,0,0,0,4,0,0,12,0,1,0,0,Birmingham,Birmingham
E02001845,E02001886,11,0,0,0,3,0,0,7,1,0,0,0,Birmingham,Birmingham
E02001845,E02001890,21,0,0,0,6,0,0,13,1,0,1,0,Birmingham,Birmingham
E02001845,E02001892,16,0,0,0,3,0,0,11,2,0,0,0,Birmingham,Birmingham
E02001845,E02001897,15,0,0,0,4,0,0,9,2,0,0,0,Birmingham,Birmingham
E02001845,E02001900,11,0,0,0,2,0,0,8,0,1,0,0,Birmingham,Birmingham
E02001845,E02001905,17,0,0,1,6,0,0,7,1,1,1,0,Birmingham,Birmingham
E02001845,E02001913,15,0,0,0,3,0,0,11,0,0,1,0,Birmingham,Birmingham
E02001845,E02002089,26,0,0,2,2,0,1,20,0,1,0,0,Birmingham,Birmingham
E02001845,E02002148,12,0,0,0,2,0,0,9,0,0,1,0,Birmingham,Birmingham
E02001845,E02006809,12,0,0,0,0,0,0,9,1,0,2,0,Birmingham,Birmingham
E02001845,E02006895,17,0,0,1,5,1,0,7,2,0,1,0,Birmingham,Birmingham
E02001845,E02006896,55,0,0,0,20,0,1,31,2,0,1,0,Birmingham,Birmingham
E02001845,E02006897,30,0,0,0,12,0,0,16,2,0,0,0,Birmingham,Birmingham
E02001845,E02006898,42,0,1,0,13,0,0,27,1,0,0,0,Birmingham,Birmingham
E02001845,E02006899,195,0,0,1,112,0,0,74,6,0,2,0,Birmingham,Birmingham
E02001845,E02006900,22,0,0,0,3,0,0,17,2,0,0,0,Birmingham,Birmingham
E02001846,E02001837,16,0,0,0,5,0,0,7,1,1,2,0,Birmingham,Birmingham
E02001846,E02001839,16,0,0,0,4,0,0,11,1,0,0,0,Birmingham,Birmingham
E02001846,E02001840,32,0,0,0,4,0,0,13,4,0,11,0,Birmingham,Birmingham
E02001846,E02001843,13,0,0,0,5,1,0,6,0,0,1,0,Birmingham,Birmingham
