Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02001834,E02001834,77,0,0,1,5,0,2,30,5,2,31,1,0,NaN
E02001834,E02001837,18,0,0,0,4,0,0,6,2,0,6,0,1166.8327236636574,0.01445000125541877
E02001834,E02001839,86,0,0,0,5,0,0,37,7,0,37,0,1352.745949434077,0.022466158259673408
E02001834,E02001840,15,0,0,0,3,1,0,9,0,0,1,1,2427.8710853906196,0.01619777880001494
E02001834,E02001843,42,0,0,0,9,0,0,23,4,0,6,0,2277.072587605911,0.018968307420634753
E02001834,E02001845,15,0,0,0,1,0,0,12,1,0,1,0,2470.985331116367,0.022024317198771508
E02001834,E02001848,29,0,0,0,6,0,0,19,2,1,1,0,2875.028462198565,0.017521774225934532
E02001834,E02001849,18,0,0,0,6,0,0,12,0,0,0,0,5235.7647593077945,0.01869492692811592
E02001834,E02001850,24,0,0,0,7,0,0,14,3,0,0,0,4751.124336243681,0.02814905240663414
E02001834,E02001851,13,0,0,0,2,0,0,10,1,0,0,0,8168.661368253824,0.017976401169411252
E02001834,E02001854,35,0,0,0,10,0,0,21,2,2,0,0,7209.227449370621,0.01863728857877397
E02001834,E02001855,29,0,0,0,5,0,0,21,3,0,0,0,9816.56272556988,0.01869718761754632
E02001834,E02001856,17,0,0,0,5,0,0,12,0,0,0,0,5506.667880038918,0.018461408704534252
E02001834,E02001857,33,0,0,0,8,0,0,21,2,1,1,0,6700.758316671887,0.018909298924100666
E02001834,E02001859,114,0,0,0,21,0,1,81,9,1,1,0,5347.366159007959,0.019186213601591656
E02001834,E02001863,41,0,0,0,8,0,0,31,1,0,1,0,6159.967728307476,0.016924865371059614
E02001834,E02001869,30,0,0,0,2,0,0,27,1,0,0,0,7797.141960329904,0.015987467275910765
E02001834,E02001873,21,0,0,0,4,0,0,17,0,0,0,0,8356.735640474371,0.01995118151482861
E02001834,E02001875,28,0,0,0,4,0,0,22,2,0,0,0,8015.344693253344,0.019769541698168875
E02001834,E02001876,93,0,0,1,33,0,0,51,7,0,1,0,8753.950238712494,0.01843487737565078
E02001834,E02001878,18,0,0,0,3,0,0,11,3,0,1,0,9225.556331710868,0.016805883790639492
E02001834,E02001884,13,0,0,0,4,0,0,8,1,0,0,0,10859.688539841185,0.016563356292217217
E02001834,E02001904,14,0,0,1,0,0,0,9,3,0,1,0,13653.598122592579,0.018409324348593104
E02001834,E02002089,21,0,0,1,3,0,0,15,0,1,1,0,16676.60071072988,0.01876834665065833
E02001834,E02002148,25,0,0,0,1,0,0,15,1,0,8,0,1393.048366813127,0.023625227951368594
E02001834,E02006895,12,0,0,1,3,0,0,8,0,0,0,0,10800.684445241126,0.02117678388964121
E02001834,E02006896,30,0,0,0,14,1,0,14,0,1,0,0,10361.999373894349,0.021203020791594723
E02001834,E02006897,18,0,0,0,7,0,0,10,1,0,0,0,10789.067661360741,0.020392972778919192
E02001834,E02006898,27,0,0,1,9,0,0,16,0,0,1,0,9886.92698937568,0.021068227635464225
E02001834,E02006899,112,0,1,2,60,0,0,39,8,0,2,0,NA,0.020494545218830207
E02001834,E02006900,18,0,0,0,5,0,0,11,0,0,2,0,11002.401565979615,0.01686503509523372
E02001837,E02001834,43,0,0,0,4,0,1,18,5,2,13,0,1042.681769810048,0.01877255576296717
E02001837,E02001837,129,0,0,1,18,1,0,27,3,0,79,0,0,0.018657850847291452
E02001837,E02001839,54,0,0,0,13,1,0,22,7,0,11,0,1420.0199177818904,0.017597294655788954
E02001837,E02001840,65,0,0,0,10,2,1,23,5,0,24,0,2260.5838490494402,0.01983127883903631
E02001837,E02001843,87,0,0,0,17,3,0,29,6,0,32,0,1901.0293516485601,0.020032475171013
E02001837,E02001845,24,0,0,0,7,1,0,12,4,0,0,0,2132.7802209953647,0.017726649813002714
E02001837,E02001848,56,0,0,0,24,1,1,21,4,0,5,0,2310.4904394228643,0.019879726275793302
E02001837,E02001849,52,0,0,0,25,0,0,21,2,0,4,0,4725.383120669758,0.021788067770698194
E02001837,E02001850,49,0,0,0,24,0,0,19,3,0,3,0,4672.392996223272,0.021396029493902822
E02001837,E02001851,25,0,0,0,6,0,0,11,3,0,5,0,7527.433916847997,0.02351762032871882
E02001837,E02001852,14,0,0,0,3,0,0,11,0,0,0,0,4137.810249483895,0.030826033495387973
