Area of residence,Area of workplace,potential_demand
E02001834,E02001834,2
E02001834,E02001837,2
E02001834,E02001839,10
E02001834,E02001840,3
E02001834,E02001843,8
E02001834,E02001845,3
E02001834,E02001848,3
E02001834,E02001849,4
E02001834,E02001850,6
E02001834,E02001851,2
E02001834,E02001854,3
E02001834,E02001855,4
E02001834,E02001856,4
E02001834,E02001857,3
E02001834,E02001859,19
E02001834,E02001863,8
E02001834,E02001869,5
E02001834,E02001873,4
E02001834,E02001875,5
E02001834,E02001876,15
E02001834,E02001878,3
E02001834,E02001884,2
E02001834,E02001904,1
E02001834,E02002089,1
E02001834,E02002148,3
E02001834,E02006895,2
E02001834,E02006896,2
E02001834,E02006897,2
E02001834,E02006898,4
E02001834,E02006899,17
E02001834,E02006900,2
E02001837,E02001834,3
E02001837,E02001837,4
E02001837,E02001839,8
E02001837,E02001840,9
E02001837,E02001843,12
E02001837,E02001845,5
E02001837,E02001848,11
E02001837,E02001849,11
E02001837,E02001850,11
E02001837,E02001851,4
E02001837,E02001852,3
E02001837,E02001854,5
E02001837,E02001855,9
E02001837,E02001856,3
E02001837,E02001857,3
E02001837,E02001859,18
E02001837,E02001861,2
E02001837,E02001863,9
E02001837,E02001869,15
E02001837,E02001873,7
E02001837,E02001874,4
E02001837,E02001875,8
E02001837,E02001876,11
E02001837,E02001878,4
E02001837,E02001879,2
E02001837,E02001890,2
E02001837,E02001892,2
E02001837,E02001895,1
E02001837,E02001897,1
E02001837,E02001904,2
E02001837,E02001905,1
E02001837,E02001913,1
E02001837,E02002089,1
E02001837,E02006809,3
E02001837,E02006895,2
E02001837,E02006896,8
E02001837,E02006897,3
E02001837,E02006898,6
E02001837,E02006899,24
E02001837,E02006900,4
E02001837,E02006901,1
E02001839,E02001834,3
E02001839,E02001837,3
E02001839,E02001839,6
E02001839,E02001840,4
E02001839,E02001842,3
E02001839,E02001843,8
E02001839,E02001845,1
E02001839,E02001848,6
E02001839,E02001849,5
E02001839,E02001850,11
E02001839,E02001851,2
E02001839,E02001852,3
E02001839,E02001854,6
E02001839,E02001855,1
E02001839,E02001856,5
E02001839,E02001857,6
E02001839,E02001859,20
E02001839,E02001863,6
E02001839,E02001867,3
E02001839,E02001869,4
E02001839,E02001873,6
E02001839,E02001874,1
E02001839,E02001875,8
E02001839,E02001876,25
E02001839,E02001878,4
E02001839,E02001890,2
E02001839,E02001892,2
E02001839,E02001897,3
E02001839,E02001900,2
E02001839,E02001913,2
E02001839,E02002089,1
E02001839,E02002148,5
E02001839,E02006809,4
E02001839,E02006895,2
