MSOA11CD,MSOA11NM,TCITY15CD,city,FID
E02001915,Birmingham 089,J01000007,Birmingham,1601
E02001916,Birmingham 090,J01000007,Birmingham,1602
E02001918,Birmingham 092,J01000007,Birmingham,1604
E02001919,Birmingham 093,J01000007,Birmingham,1605
E02001920,Birmingham 094,J01000007,Birmingham,1606
E02001860,Birmingham 034,J01000007,Birmingham,1608
E02001921,Birmingham 095,J01000007,Birmingham,1609
E02001861,Birmingham 035,J01000007,Birmingham,1615
E02001922,Birmingham 096,J01000007,Birmingham,1616
E02001862,Birmingham 036,J01000007,Birmingham,1622
E02001923,Birmingham 097,J01000007,Birmingham,1623
E02001863,Birmingham 037,J01000007,Birmingham,1629
E02001924,Birmingham 098,J01000007,Birmingham,1630
E02001864,Birmingham 038,J01000007,Birmingham,1636
E02001925,Birmingham 099,J01000007,Birmingham,1637
E02001865,Birmingham 039,J01000007,Birmingham,1643
E02001926,Birmingham 100,J01000007,Birmingham,1644
E02001866,Birmingham 040,J01000007,Birmingham,1650
E02001927,Birmingham 101,J01000007,Birmingham,1651
E02001867,Birmingham 041,J01000007,Birmingham,1657
E02001928,Birmingham 102,J01000007,Birmingham,1658
E02001868,Birmingham 042,J01000007,Birmingham,1664
E02001929,Birmingham 103,J01000007,Birmingham,1665
E02001869,Birmingham 043,J01000007,Birmingham,1671
E02001930,Birmingham 104,J01000007,Birmingham,1672
E02001834,Birmingham 008,J01000007,Birmingham,1689
E02001837,Birmingham 011,J01000007,Birmingham,1692
E02001839,Birmingham 013,J01000007,Birmingham,1694
E02001840,Birmingham 014,J01000007,Birmingham,1695
E02001842,Birmingham 016,J01000007,Birmingham,1697
E02001843,Birmingham 017,J01000007,Birmingham,1698
E02001845,Birmingham 019,J01000007,Birmingham,1700
E02001846,Birmingham 020,J01000007,Birmingham,1701
E02001848,Birmingham 022,J01000007,Birmingham,1703
E02001849,Birmingham 023,J01000007,Birmingham,1704
E02001850,Birmingham 024,J01000007,Birmingham,1705
E02001851,Birmingham 025,J01000007,Birmingham,1706
E02001852,Birmingham 026,J01000007,Birmingham,1707
E02001854,Birmingham 028,J01000007,Birmingham,1708
E02001855,Birmingham 029,J01000007,Birmingham,1709
E02001856,Birmingham 030,J01000007,Birmingham,1710
E02001857,Birmingham 031,J01000007,Birmingham,1711
E02001858,Birmingham 032,J01000007,Birmingham,1712
E02001859,Birmingham 033,J01000007,Birmingham,1713
E02001931,Birmingham 105,J01000007,Birmingham,1715
E02001870,Birmingham 044,J01000007,Birmingham,1717
E02001932,Birmingham 106,J01000007,Birmingham,1719
E02001871,Birmingham 045,J01000007,Birmingham,1722
E02001933,Birmingham 107,J01000007,Birmingham,1724
E02001872,Birmingham 046,J01000007,Birmingham,1728
E02001934,Birmingham 108,J01000007,Birmingham,1730
E02001873,Birmingham 047,J01000007,Birmingham,1734
E02001935,Birmingham 109,J01000007,Birmingham,1736
E02001874,Birmingham 048,J01000007,Birmingham,1740
E02001936,Birmingham 110,J01000007,Birmingham,1780
E02001937,Birmingham 111,J01000007,Birmingham,1784
E02001938,Birmingham 112,J01000007,Birmingham,1788
E02001875,Birmingham 049,J01000007,Birmingham,1789
E02001939,Birmingham 113,J01000007,Birmingham,1793
E02001876,Birmingham 050,J01000007,Birmingham,1794
E02001941,Birmingham 115,J01000007,Birmingham,1798
E02001877,Birmingham 051,J01000007,Birmingham,1799
E02001942,Birmingham 116,J01000007,Birmingham,1803
E02001878,Birmingham 052,J01000007,Birmingham,1804
E02001943,Birmingham 117,J01000007,Birmingham,1808
E02001879,Birmingham 053,J01000007,Birmingham,1809
E02001944,Birmingham 118,J01000007,Birmingham,1840
E02001945,Birmingham 119,J01000007,Birmingham,1842
E02001880,Birmingham 054,J01000007,Birmingham,1844
E02001946,Birmingham 120,J01000007,Birmingham,1845
E02001881,Birmingham 055,J01000007,Birmingham,1848
E02001947,Birmingham 121,J01000007,Birmingham,1849
