Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02005176,E02005176,231,0,0,1,8,1,0,111,6,6,97,1,Burnley,Burnley
E02005176,E02005177,350,0,0,0,16,2,0,169,25,2,136,0,Burnley,Burnley
E02005176,E02005178,626,0,0,1,96,3,4,380,71,5,66,0,Burnley,Burnley
E02005176,E02005179,69,0,0,0,5,1,0,53,3,3,4,0,Burnley,Burnley
E02005176,E02005180,17,0,0,0,0,0,0,12,3,0,2,0,Burnley,Burnley
E02005176,E02005181,44,0,0,0,10,0,0,29,4,0,1,0,Burnley,Burnley
E02005176,E02005182,98,0,0,0,14,1,0,51,15,2,15,0,Burnley,Burnley
E02005176,E02005183,23,0,0,0,0,0,0,19,3,0,1,0,Burnley,Burnley
E02005176,E02005185,126,0,0,0,13,0,1,98,11,1,1,1,Burnley,Burnley
E02005176,E02005186,134,0,0,0,9,1,2,106,13,2,1,0,Burnley,Burnley
E02005176,E02006881,60,0,0,0,14,2,0,39,4,0,1,0,Burnley,Burnley
E02005177,E02005176,93,0,0,0,3,1,1,44,9,0,35,0,Burnley,Burnley
E02005177,E02005177,293,0,0,0,17,1,0,74,11,1,189,0,Burnley,Burnley
E02005177,E02005178,410,0,0,2,52,10,3,196,25,5,117,0,Burnley,Burnley
E02005177,E02005179,28,0,0,0,1,0,0,20,4,0,3,0,Burnley,Burnley
E02005177,E02005181,34,0,0,0,7,0,0,18,4,0,5,0,Burnley,Burnley
E02005177,E02005182,81,0,0,0,11,0,0,48,7,6,9,0,Burnley,Burnley
E02005177,E02005185,52,0,0,0,8,2,0,32,5,1,4,0,Burnley,Burnley
E02005177,E02005186,85,0,0,0,7,2,2,55,11,1,7,0,Burnley,Burnley
E02005177,E02006881,62,0,0,0,7,3,0,34,11,0,7,0,Burnley,Burnley
E02005178,E02005176,57,0,0,1,2,1,1,29,4,1,18,0,Burnley,Burnley
E02005178,E02005177,199,0,0,1,7,1,0,70,13,2,104,1,Burnley,Burnley
E02005178,E02005178,578,0,0,4,38,14,0,193,43,4,275,7,Burnley,Burnley
E02005178,E02005179,45,0,0,0,8,1,1,22,8,0,5,0,Burnley,Burnley
E02005178,E02005181,21,0,0,0,3,0,0,10,1,0,6,1,Burnley,Burnley
E02005178,E02005182,52,0,0,0,2,3,0,23,3,1,20,0,Burnley,Burnley
E02005178,E02005185,66,0,0,1,20,0,0,27,8,0,10,0,Burnley,Burnley
E02005178,E02005186,96,0,0,0,13,1,0,58,16,1,6,1,Burnley,Burnley
E02005178,E02006881,50,0,0,0,8,2,0,26,8,0,6,0,Burnley,Burnley
E02005179,E02005176,66,0,0,0,7,0,0,44,10,2,3,0,Burnley,Burnley
E02005179,E02005177,139,0,0,0,29,0,1,84,14,4,7,0,Burnley,Burnley
