Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02005176,E02005176,231,0,0,1,8,1,0,111,6,6,97,1,0,NaN
E02005176,E02005177,350,0,0,0,16,2,0,169,25,2,136,0,2026.991285258946,0.032596474598493845
E02005176,E02005178,626,0,0,1,96,3,4,380,71,5,66,0,2253.169296485304,0.031133254705809337
E02005176,E02005179,69,0,0,0,5,1,0,53,3,3,4,0,8114.200730997335,0.030954838243035444
E02005176,E02005180,17,0,0,0,0,0,0,12,3,0,2,0,5720.548555441336,0.03096048085529084
E02005176,E02005181,44,0,0,0,10,0,0,29,4,0,1,0,5206.11447770516,0.02947175080982469
E02005176,E02005182,98,0,0,0,14,1,0,51,15,2,15,0,4189.488056047599,0.026428512775338295
E02005176,E02005183,23,0,0,0,0,0,0,19,3,0,1,0,3818.0342622131147,0.03548368372311199
E02005176,E02005185,126,0,0,0,13,0,1,98,11,1,1,1,5887.04869529788,0.032303292632650665
E02005176,E02005186,134,0,0,0,9,1,2,106,13,2,1,0,7746.442055644332,0.029411257520927884
E02005176,E02006881,60,0,0,0,14,2,0,39,4,0,1,0,5721.810559606828,0.040641140610915935
E02005177,E02005176,93,0,0,0,3,1,1,44,9,0,35,0,2026.9912852589457,0.032596474598493845
E02005177,E02005177,293,0,0,0,17,1,0,74,11,1,189,0,0,NaN
E02005177,E02005178,410,0,0,2,52,10,3,196,25,5,117,0,1182.117899442048,0.01314140502441615
E02005177,E02005179,28,0,0,0,1,0,0,20,4,0,3,0,6765.426244389294,0.02818274125626072
E02005177,E02005181,34,0,0,0,7,0,0,18,4,0,5,0,4023.7951688884937,0.026702440920665885
E02005177,E02005182,81,0,0,0,11,0,0,48,7,6,9,0,3152.9812021724233,0.02404483142663395
E02005177,E02005185,52,0,0,0,8,2,0,32,5,1,4,0,4704.729386481213,0.014329829774491756
E02005177,E02005186,85,0,0,0,7,2,2,55,11,1,7,0,6564.122746827666,0.026703700259655013
E02005177,E02006881,62,0,0,0,7,3,0,34,11,0,7,0,4685.303705731651,0.02855931266307739
E02005178,E02005176,57,0,0,1,2,1,1,29,4,1,18,0,2303.0042710267144,0.026171455448163263
E02005178,E02005177,199,0,0,1,7,1,0,70,13,2,104,1,1074.6840354612004,0.037451941153113205
E02005178,E02005178,578,0,0,4,38,14,0,193,43,4,275,7,0,0.031133254705809337
E02005178,E02005179,45,0,0,0,8,1,1,22,8,0,5,0,5826.615127021767,0.013141451805719823
E02005178,E02005181,21,0,0,0,3,0,0,10,1,0,6,1,2918.528873729592,NaN
E02005178,E02005182,52,0,0,0,2,3,0,23,3,1,20,0,2262.355777186179,0.030838417691576255
E02005178,E02005185,66,0,0,1,20,0,0,27,8,0,10,0,3599.4630913223123,0.030769391623845455
E02005178,E02005186,96,0,0,0,13,1,0,58,16,1,6,1,5458.856451668763,0.028033519277562584
E02005178,E02006881,50,0,0,0,8,2,0,26,8,0,6,0,3331.8004883509493,0.01430281781357914
E02005179,E02005176,66,0,0,0,7,0,0,44,10,2,3,0,8175.940559620475,0.024426437598978997
E02005179,E02005177,139,0,0,0,29,0,1,84,14,4,7,0,6765.426244389296,0.032975979104840895
E02005179,E02005178,378,0,0,0,122,4,4,196,22,6,24,0,5826.615127021769,0.028639559822539438
E02005179,E02005179,496,0,1,1,21,2,2,196,23,10,239,1,0,0.047146840818952485
E02005179,E02005180,44,0,0,0,7,1,0,21,5,1,9,0,2406.4620067528385,0.030954838243035444
E02005179,E02005181,53,0,0,0,7,1,1,31,4,0,9,0,2933.302432051542,0.028183073353100347
E02005179,E02005182,72,0,0,0,21,4,0,43,2,1,1,0,6414.9724195103145,0.030838417691576255
E02005179,E02005183,18,0,0,0,5,0,0,13,0,0,0,0,7141.557686574332,NaN
E02005179,E02005185,131,0,0,0,24,3,0,83,12,4,5,0,4178.498413857474,0.02538956838363323
E02005179,E02005186,184,0,0,0,11,1,2,113,26,4,27,0,2184.0627612695166,0.025585234862820497
E02005179,E02006881,82,0,0,0,15,0,0,54,12,0,1,0,5429.911358322298,0.021536256345051595
E02005180,E02005176,70,0,0,0,7,0,0,55,3,3,2,0,5782.288384064467,0.02586097120783294
E02005180,E02005177,129,0,0,0,5,0,1,110,7,3,3,0,4485.242298882682,0.025179177311044864
E02005180,E02005178,471,0,0,0,69,4,0,301,47,7,43,0,3432.962951465764,0.029824369043074027
E02005180,E02005179,143,0,0,0,14,1,2,101,14,2,9,0,2406.4620067528376,0.02731301338483754
E02005180,E02005180,71,0,0,1,4,0,0,33,3,0,30,0,0,0.03096048085529084
E02005180,E02005181,116,0,0,0,3,1,0,72,9,2,29,0,526.8404252987037,0.0267026874318638
E02005180,E02005182,84,0,0,0,14,0,2,50,11,4,3,0,3883.092575838647,0.030769391623845455
E02005180,E02005183,15,0,0,0,0,0,0,12,2,0,1,0,4609.677842902664,0.025389700292079185
E02005180,E02005185,134,0,0,0,5,1,0,89,17,2,20,0,1990.840750631746,NaN
E02005180,E02005186,225,0,0,0,4,2,1,163,30,5,20,0,2726.7925970803735,0.03337045582931788
E02005180,E02006881,88,0,0,0,8,1,0,63,12,1,3,0,3128.0213856512437,0.023233885532867527
E02005181,E02005176,60,0,0,0,4,0,1,43,8,1,3,0,5167.100807062377,0.029617000347707634
E02005181,E02005177,98,0,0,0,22,0,0,60,7,4,5,0,3870.0547218805946,0.035998809088365655
E02005181,E02005178,403,0,0,3,85,5,1,201,37,8,61,2,2817.7753744636752,0.025825679361893585
E02005181,E02005179,101,0,0,0,21,0,0,61,8,3,8,0,2933.3024320515406,0.03388003023237553
E02005181,E02005180,52,0,0,0,4,0,0,18,6,1,22,1,526.8404252987037,0.02947175080982469
E02005181,E02005181,174,0,0,0,5,0,1,64,8,2,93,1,0,0.024045059326936086
E02005181,E02005182,73,0,0,0,23,0,3,33,6,2,6,0,3267.4312234900704,0.028033519277562584
E02005181,E02005185,149,0,0,0,8,0,0,88,13,7,32,1,1437.7188970197037,0.025585361684886898
E02005181,E02005186,233,0,0,0,9,7,2,128,26,13,47,1,2946.442146422387,0.02648179714222184
E02005181,E02006881,76,0,0,0,14,4,0,40,10,0,8,0,2519.985576186293,NaN
E02005182,E02005176,79,0,0,0,5,1,0,45,12,1,15,0,4189.4880560476,0.02127187205570946
E02005182,E02005177,129,0,0,1,11,3,0,66,13,5,30,0,3152.9812021724247,0.029063354045606837
E02005182,E02005178,429,0,0,1,45,8,1,135,40,7,189,3,1929.5165040611466,0.038673305501133175
E02005182,E02005179,42,0,0,0,11,0,0,23,4,1,3,0,6412.960183607827,0.02793247311170173
E02005182,E02005180,14,0,0,0,3,0,0,9,2,0,0,0,3926.921815556755,0.033494386096396274
E02005182,E02005181,23,0,0,0,1,4,0,13,4,0,1,0,3448.0331786332968,0.026428512775338295
E02005182,E02005182,139,0,0,0,3,0,0,39,7,1,88,1,0,0.014329916361192104
