Area of residence,Area of workplace,potential_demand
E02005176,E02005176,39
E02005176,E02005177,30
E02005176,E02005178,79
E02005176,E02005179,6
E02005176,E02005180,2
E02005176,E02005181,6
E02005176,E02005182,11
E02005176,E02005183,3
E02005176,E02005185,17
E02005176,E02005186,21
E02005176,E02006881,6
E02005177,E02005176,8
E02005177,E02005177,28
E02005177,E02005178,70
E02005177,E02005179,4
E02005177,E02005181,4
E02005177,E02005182,8
E02005177,E02005185,10
E02005177,E02005186,12
E02005177,E02006881,7
E02005178,E02005176,6
E02005178,E02005177,14
E02005178,E02005178,79
E02005178,E02005179,8
E02005178,E02005181,2
E02005178,E02005182,4
E02005178,E02005185,7
E02005178,E02005186,13
E02005178,E02006881,8
E02005179,E02005176,8
E02005179,E02005177,12
E02005179,E02005178,51
E02005179,E02005179,50
E02005179,E02005180,4
E02005179,E02005181,6
E02005179,E02005182,10
E02005179,E02005183,2
E02005179,E02005185,13
E02005179,E02005186,22
E02005179,E02006881,13
E02005180,E02005176,7
E02005180,E02005177,15
E02005180,E02005178,60
E02005180,E02005179,21
E02005180,E02005180,10
E02005180,E02005181,18
E02005180,E02005182,7
E02005180,E02005183,2
E02005180,E02005185,18
E02005180,E02005186,20
E02005180,E02006881,14
E02005181,E02005176,7
E02005181,E02005177,7
E02005181,E02005178,48
E02005181,E02005179,8
E02005181,E02005180,6
E02005181,E02005181,25
E02005181,E02005182,7
E02005181,E02005185,14
E02005181,E02005186,20
E02005181,E02006881,9
E02005182,E02005176,11
E02005182,E02005177,10
E02005182,E02005178,27
E02005182,E02005179,5
E02005182,E02005180,2
E02005182,E02005181,3
E02005182,E02005182,20
E02005182,E02005183,2
E02005182,E02005185,10
E02005182,E02005186,13
E02005182,E02006881,11
E02005183,E02005176,11
E02005183,E02005177,9
E02005183,E02005178,55
E02005183,E02005179,8
E02005183,E02005180,1
E02005183,E02005181,4
E02005183,E02005182,17
E02005183,E02005183,11
E02005183,E02005185,11
E02005183,E02005186,16
E02005183,E02006881,10
E02005185,E02005176,6
E02005185,E02005177,9
E02005185,E02005178,36
E02005185,E02005179,6
E02005185,E02005180,2
E02005185,E02005181,6
E02005185,E02005182,11
E02005185,E02005183,1
E02005185,E02005185,40
E02005185,E02005186,20
E02005185,E02006881,9
E02005186,E02005176,6
E02005186,E02005177,12
E02005186,E02005178,48
E02005186,E02005179,12
E02005186,E02005180,2
E02005186,E02005181,6
E02005186,E02005182,8
E02005186,E02005183,2
E02005186,E02005185,17
E02005186,E02005186,60
E02005186,E02006881,6
E02006881,E02005176,8
E02006881,E02005177,22
E02006881,E02005178,69
E02006881,E02005179,11
E02006881,E02005180,2
E02006881,E02005181,4
E02006881,E02005182,10
E02006881,E02005183,2
E02006881,E02005185,28
E02006881,E02005186,21
E02006881,E02006881,36
