Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups
E02005176,E02005176,231,0,0,1,8,1,0,111,6,6,97,1,0,0.029881950840644385,0.025974025974025976,0.02833968551779471,0.9165248484397147,128,3.627479746277723,33.18231345311887,39,0.16883116883116883,0,NA
E02005176,E02005177,350,0,0,0,16,2,0,169,25,2,136,0,2026.991285258946,0.032596474598493845,0.005714285714285714,0.014245470438924561,0.4011300110294641,212,3.020039733052007,27.62576556515192,30,0.08571428571428572,2.026991285258946,"(2,3]"
E02005176,E02005178,626,0,0,1,96,3,4,380,71,5,66,0,2253.169296485304,0.031133254705809337,0.007987220447284345,0.014528779936643732,0.5497516296698385,555,8.063472864837271,73.76049015747249,79,0.12619808306709265,2.253169296485304,"(2,3]"
E02005176,E02005179,69,0,0,0,5,1,0,53,3,3,4,0,8114.200730997335,0.030954838243035444,0.043478260869565216,0.015421062808704904,2.8194075472555977,62,0.3391158880419308,3.10205720803454,6,0.08695652173913043,8.114200730997336,"(8,9]"
E02005176,E02005180,17,0,0,0,0,0,0,12,3,0,2,0,5720.548555441336,0.03096048085529084,0,0.014151423616338027,0,15,0.2122713542450704,1.941748846676729,2,0.11764705882352941,5.7205485554413364,"(5,6]"
E02005176,E02005181,44,0,0,0,10,0,0,29,4,0,1,0,5206.11447770516,0.02947175080982469,0,0.014507820466406406,0,43,0.6238362800554754,5.706532478773928,6,0.13636363636363635,5.20611447770516,"(5,6]"
E02005176,E02005182,98,0,0,0,14,1,0,51,15,2,15,0,4189.488056047599,0.026428512775338295,0.02040816326530612,0.01545463559492229,1.3205205091999284,81,0.9479788268848292,8.671621285519372,11,0.11224489795918367,4.189488056047598,"(4,5]"
E02005176,E02005183,23,0,0,0,0,0,0,19,3,0,1,0,3818.0342622131147,0.03548368372311199,0,0.012488251747620973,0,22,0.2747415384476614,2.513193865993936,3,0.13043478260869565,3.8180342622131147,"(3,4]"
E02005176,E02005185,126,0,0,0,13,0,1,98,11,1,1,1,5887.04869529788,0.032303292632650665,0.007936507936507936,0.013764288732270836,0.5766013842691724,124,1.7067718028015837,15.612667999489624,17,0.1349206349206349,5.88704869529788,"(5,6]"
E02005176,E02005186,134,0,0,0,9,1,2,106,13,2,1,0,7746.442055644332,0.029411257520927884,0.014925373134328358,0.015733626717559967,0.9486289081506215,131,2.0611051000003555,18.85392621646289,21,0.15671641791044777,7.746442055644332,"(7,8]"
E02005176,E02006881,60,0,0,0,14,2,0,39,4,0,1,0,5721.810559606828,0.040641140610915935,0,0.011246790053916713,0,59,0.6635606131810861,6.069910186076834,6,0.1,5.721810559606828,"(5,6]"
E02005177,E02005176,93,0,0,0,3,1,1,44,9,0,35,0,2026.9912852589457,0.032596474598493845,0,0.014245470438924561,0,58,0.8262372854576245,7.557992465937789,8,0.08602150537634409,2.0269912852589456,"(2,3]"
E02005177,E02005177,293,0,0,0,17,1,0,74,11,1,189,0,0,0.029881950840644385,0.0034129692832764505,0.02833968551779471,0.12043073947074749,103,2.918987608332855,26.701392856806596,28,0.09556313993174062,0,NA
E02005177,E02005178,410,0,0,2,52,10,3,196,25,5,117,0,1182.117899442048,0.01314140502441615,0.012195121951219513,0.024604243166723168,0.495651171571626,288,7.086022032016272,64.81927416503031,70,0.17073170731707318,1.182117899442048,"(1,2]"
E02005177,E02005179,28,0,0,0,1,0,0,20,4,0,3,0,6765.426244389294,0.02818274125626072,0,0.015585871088904872,0,25,0.3896467772226218,3.5642877154768082,4,0.14285714285714285,6.765426244389294,"(6,7]"
E02005177,E02005181,34,0,0,0,7,0,0,18,4,0,5,0,4023.7951688884937,0.026702440920665885,0,0.015359647184822483,0,29,0.445429768359852,4.074561742276684,4,0.11764705882352941,4.023795168888494,"(4,5]"
E02005177,E02005182,81,0,0,0,11,0,0,48,7,6,9,0,3152.9812021724233,0.02404483142663395,0.07407407407407407,0.016554714040219996,4.474500368542137,66,0.24418617424553027,2.233689156513554,8,0.09876543209876543,3.1529812021724233,"(3,4]"
E02005177,E02005185,52,0,0,0,8,2,0,32,5,1,4,0,4704.729386481213,0.014329829774491756,0.019230769230769232,0.020611585514854043,0.9330077599760724,47,0.96874451919814,8.86157512664512,10,0.19230769230769232,4.704729386481213,"(4,5]"
E02005177,E02005186,85,0,0,0,7,2,2,55,11,1,7,0,6564.122746827666,0.026703700259655013,0.011764705882352941,0.016031198546176923,0.7338631511839492,77,1.2344022880556231,11.29167535436678,12,0.1411764705882353,6.564122746827666,"(6,7]"
E02005177,E02006881,62,0,0,0,7,3,0,34,11,0,7,0,4685.303705731651,0.02855931266307739,0,0.014726079152190782,0,55,0.809934353370493,7.408861653208866,7,0.11290322580645161,4.68530370573165,"(4,5]"
E02005178,E02005176,57,0,0,1,2,1,1,29,4,1,18,0,2303.0042710267144,0.026171455448163263,0.017543859649122806,0.01629126581475154,1.07688744684511,38,0.5748679704403684,5.258595643127857,6,0.10526315789473684,2.3030042710267145,"(2,3]"
E02005178,E02005177,199,0,0,1,7,1,0,70,13,2,104,1,1074.6840354612004,0.037451941153113205,0.010050251256281407,0.014097034043890767,0.7129337437215657,93,1.3110241660818414,11.99257276851266,14,0.07035175879396985,1.0746840354612004,"(1,2]"
E02005178,E02005178,578,0,0,4,38,14,0,193,43,4,275,7,0,0.031133254705809337,0.006920415224913495,0.02752306181460614,0.2514406017589554,299,8.229395482567236,75.27826467189323,79,0.13667820069204153,0,NA
E02005178,E02005179,45,0,0,0,8,1,1,22,8,0,5,0,5826.615127021767,0.013141451805719823,0,0.021610075150076194,0,40,0.8644030060030478,7.907112789380504,8,0.17777777777777778,5.826615127021767,"(5,6]"
E02005178,E02005181,21,0,0,0,3,0,0,10,1,0,6,1,2918.528873729592,0.029881950840644385,0,0.014517525412909042,0,15,0.21776288119363563,1.9919825023520017,2,0.09523809523809523,2.918528873729592,"(2,3]"
E02005178,E02005182,52,0,0,0,2,3,0,23,3,1,20,0,2262.355777186179,0.030838417691576255,0.019230769230769232,0.014622540125843063,1.315145594764472,31,0.3446757117278074,3.152915607031293,4,0.07692307692307693,2.262355777186179,"(2,3]"
E02005178,E02005185,66,0,0,1,20,0,0,27,8,0,10,0,3599.4630913223123,0.030769391623845455,0,0.01399837497232014,0,56,0.7839089984499279,7.170795131792995,7,0.10606060606060606,3.5994630913223125,"(3,4]"
E02005178,E02005186,96,0,0,0,13,1,0,58,16,1,6,1,5458.856451668763,0.028033519277562584,0.010416666666666666,0.015080743323471533,0.6907263417483049,89,1.3421861557889665,12.277626575179877,13,0.13541666666666666,5.458856451668763,"(5,6]"
E02005178,E02006881,50,0,0,0,8,2,0,26,8,0,6,0,3331.8004883509493,0.01430281781357914,0,0.020747690586767658,0,44,0.9128983858177769,8.35072350717752,8,0.16,3.3318004883509493,"(3,4]"
E02005179,E02005176,66,0,0,0,7,0,0,44,10,2,3,0,8175.940559620475,0.024426437598978997,0.030303030303030304,0.0180456160323964,1.6792460977020003,61,0.6555218913312166,5.996376105436269,8,0.12121212121212122,8.175940559620475,"(8,9]"
E02005179,E02005177,139,0,0,0,29,0,1,84,14,4,7,0,6765.426244389296,0.032975979104840895,0.02877697841726619,0.013913257337309535,2.068313531447332,128,0.8610381898577109,7.876333187051571,12,0.08633093525179857,6.765426244389296,"(6,7]"
E02005179,E02005178,378,0,0,0,122,4,4,196,22,6,24,0,5826.615127021769,0.028639559822539438,0.015873015873015872,0.014989628624930898,1.0589332311152604,348,4.926080897453836,45.0612468897903,51,0.1349206349206349,5.8266151270217685,"(5,6]"
E02005179,E02005179,496,0,1,1,21,2,2,196,23,10,239,1,0,0.047146840818952485,0.020161290322580645,0.018895443948221846,1.0669921478334952,247,4.374141519867222,40.01239018618179,50,0.10080645161290322,0,NA
E02005179,E02005180,44,0,0,0,7,1,0,21,5,1,9,0,2406.4620067528385,0.030954838243035444,0.022727272727272728,0.014464388831678577,1.5712570362805474,34,0.3129909422338859,2.8630796805547987,4,0.09090909090909091,2.4064620067528386,"(2,3]"
E02005179,E02005181,53,0,0,0,7,1,1,31,4,0,9,0,2933.302432051542,0.028183073353100347,0,0.015106221027983304,0,44,0.6646737252312654,6.080092360903695,6,0.11320754716981132,2.933302432051542,"(2,3]"
E02005179,E02005182,72,0,0,0,21,4,0,43,2,1,1,0,6414.9724195103145,0.030838417691576255,0.013888888888888888,0.014466939055102903,0.9600433675698579,70,1.0126857338572033,9.263526690902369,10,0.1388888888888889,6.414972419510314,"(6,7]"
E02005179,E02005183,18,0,0,0,5,0,0,13,0,0,0,0,7141.557686574332,0.029881950840644385,0,0.015179156132424525,0,18,0.27322481038364144,2.499319620081165,2,0.1111111111111111,7.141557686574332,"(7,8]"
E02005179,E02005185,131,0,0,0,24,3,0,83,12,4,5,0,4178.498413857474,0.02538956838363323,0.030534351145038167,0.0158393364431887,1.9277544393703867,122,1.0024093352367802,9.169523497489095,13,0.09923664122137404,4.178498413857474,"(4,5]"
E02005179,E02005186,184,0,0,0,11,1,2,113,26,4,27,0,2184.0627612695166,0.025585234862820497,0.021739130434782608,0.016638184750680438,1.3065806613244608,153,1.9483238518727413,17.822261537743564,22,0.11956521739130435,2.1840627612695167,"(2,3]"
E02005179,E02006881,82,0,0,0,15,0,0,54,12,0,1,0,5429.911358322298,0.021536256345051595,0,0.017574997677255833,0,81,1.4235748118577225,13.02212801587649,13,0.15853658536585366,5.429911358322298,"(5,6]"
E02005180,E02005176,70,0,0,0,7,0,0,55,3,3,2,0,5782.288384064467,0.02586097120783294,0.04285714285714286,0.015991038416978205,2.680072534353994,65,0.3878318529741304,3.547685724695494,7,0.1,5.782288384064467,"(5,6]"
E02005180,E02005177,129,0,0,0,5,0,1,110,7,3,3,0,4485.242298882682,0.025179177311044864,0.023255813953488372,0.01593032857673308,1.4598452154624404,123,1.3422179243280068,12.27791717738695,15,0.11627906976744186,4.485242298882682,"(4,5]"
E02005180,E02005178,471,0,0,0,69,4,0,301,47,7,43,0,3432.962951465764,0.029824369043074027,0.014861995753715499,0.014352104303748964,1.0355272954526498,421,5.834936402364104,53.37498820797992,60,0.12738853503184713,3.4329629514657642,"(3,4]"
E02005180,E02005179,143,0,0,0,14,1,2,101,14,2,9,0,2406.4620067528376,0.02731301338483754,0.013986013986013986,0.01576685205921187,0.8870517674352492,132,2.081224471815967,19.03796785108553,21,0.14685314685314685,2.4064620067528377,"(2,3]"
E02005180,E02005180,71,0,0,1,4,0,0,33,3,0,30,0,0,0.03096048085529084,0,0.02763444164005059,0,41,1.1330121072420742,10.364210283258979,10,0.14084507042253522,0,NA
E02005180,E02005181,116,0,0,0,3,1,0,72,9,2,29,0,526.8404252987037,0.0267026874318638,0.017241379310344827,0.02047747342073753,0.841968096165833,85,1.74058524076269,15.921975887012456,18,0.15517241379310345,0.5268404252987038,"(0,1]"
E02005180,E02005182,84,0,0,0,14,0,2,50,11,4,3,0,3883.092575838647,0.030769391623845455,0.047619047619047616,0.013959133592467959,3.411318281583164,77,0.31508443302487815,2.882229854366025,7,0.08333333333333333,3.883092575838647,"(3,4]"
E02005180,E02005183,15,0,0,0,0,0,0,12,2,0,1,0,4609.677842902664,0.025389700292079185,0,0.0158637371369896,0,14,0.22209231991785439,2.031585974423903,2,0.13333333333333333,4.609677842902665,"(4,5]"
E02005180,E02005185,134,0,0,0,5,1,0,89,17,2,20,0,1990.840750631746,0.029881950840644385,0.014925373134328358,0.015231831562572972,0.9798803954084135,112,1.7059651350081728,15.605289018641843,18,0.13432835820895522,1.990840750631746,"(1,2]"
E02005180,E02005186,225,0,0,0,4,2,1,163,30,5,20,0,2726.7925970803735,0.03337045582931788,0.022222222222222223,0.013458845387110311,1.6511239696315032,200,1.6302646723872647,14.91282023730388,20,0.08888888888888889,2.7267925970803737,"(2,3]"
E02005180,E02006881,88,0,0,0,8,1,0,63,12,1,3,0,3128.0213856512437,0.023233885532867527,0.011363636363636364,0.01688594930446669,0.672964022261422,84,1.4184197415752018,12.9749720922182,14,0.1590909090909091,3.1280213856512438,"(3,4]"
E02005181,E02005176,60,0,0,0,4,0,1,43,8,1,3,0,5167.100807062377,0.029617000347707634,0.016666666666666666,0.014448709367379282,1.1535055652994755,56,0.7014510800068593,6.416512630484128,7,0.11666666666666667,5.1671008070623765,"(5,6]"
E02005181,E02005177,98,0,0,0,22,0,0,60,7,4,5,0,3870.0547218805946,0.035998809088365655,0.04081632653061224,0.012331633197291454,3.309888145195336,89,0.3315868411299949,3.0331853708061023,7,0.07142857142857142,3.8700547218805945,"(3,4]"
E02005181,E02005178,403,0,0,3,85,5,1,201,37,8,61,2,2817.7753744636752,0.025825679361893585,0.019851116625310174,0.01603646043797197,1.2378739499338434,334,4.3269169583614655,39.580404258712974,48,0.11910669975186104,2.8177753744636753,"(2,3]"
