MSOA11CD,MSOA11NM,TCITY15CD,city,FID
E02005176,Burnley 001,J01000016,Burnley,4815
E02005177,Burnley 002,J01000016,Burnley,4816
E02005178,Burnley 003,J01000016,Burnley,4820
E02005179,Burnley 004,J01000016,Burnley,4828
E02005180,Burnley 005,J01000016,Burnley,4836
E02005181,Burnley 006,J01000016,Burnley,4844
E02005182,Burnley 007,J01000016,Burnley,4852
E02005183,Burnley 008,J01000016,Burnley,4860
E02005185,Burnley 010,J01000016,Burnley,4876
E02006881,Burnley 014,J01000016,Burnley,6469
E02005186,Burnley 011,J01000016,Burnley,7196
