Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02001041,E02001041,138,0,8,1,9,1,0,44,4,1,70,0,Manchester,Manchester
E02001041,E02001042,134,0,8,0,5,1,0,48,11,1,59,1,Manchester,Manchester
E02001041,E02001043,30,0,0,0,0,0,0,16,4,1,9,0,Manchester,Manchester
E02001041,E02001044,72,0,7,1,6,1,0,37,2,1,16,1,Manchester,Manchester
E02001041,E02001045,18,0,4,0,2,2,0,9,0,0,1,0,Manchester,Manchester
E02001041,E02001048,12,0,1,0,0,0,0,7,0,0,4,0,Manchester,Manchester
E02001041,E02001050,46,0,5,0,6,0,0,32,3,0,0,0,Manchester,Manchester
E02001041,E02001052,36,0,4,0,9,1,0,18,1,3,0,0,Manchester,Manchester
E02001041,E02001055,18,0,0,0,1,1,1,15,0,0,0,0,Manchester,Manchester
E02001041,E02001057,11,0,3,0,2,0,0,6,0,0,0,0,Manchester,Manchester
E02001041,E02001059,16,0,0,0,1,0,1,13,1,0,0,0,Manchester,Manchester
E02001041,E02001062,47,0,10,0,6,2,0,17,6,6,0,0,Manchester,Manchester
E02001041,E02001063,27,0,6,0,7,0,0,13,1,0,0,0,Manchester,Manchester
E02001041,E02001066,27,0,4,1,4,0,0,16,2,0,0,0,Manchester,Manchester
E02001041,E02001259,21,0,5,0,0,0,0,15,1,0,0,0,Manchester,Manchester
E02001041,E02006902,244,0,89,1,44,0,1,77,19,8,5,0,Manchester,Manchester
E02001041,E02006912,138,0,49,2,22,1,3,51,2,8,0,0,Manchester,Manchester
E02001041,E02006913,45,0,7,0,8,0,0,23,5,0,2,0,Manchester,Manchester
E02001041,E02006914,33,0,14,0,6,0,0,11,1,1,0,0,Manchester,Manchester
E02001041,E02006915,35,0,0,0,3,0,0,29,1,2,0,0,Manchester,Manchester
E02001041,E02006917,81,0,35,0,11,0,1,30,3,1,0,0,Manchester,Manchester
E02001042,E02001041,47,0,0,0,3,4,0,18,2,0,20,0,Manchester,Manchester
E02001042,E02001042,135,0,8,1,7,1,0,55,4,2,57,0,Manchester,Manchester
