Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02001041,E02001041,138,0,8,1,9,1,0,44,4,1,70,0,0,NaN
E02001041,E02001042,134,0,8,0,5,1,0,48,11,1,59,1,1655.1681727946664,0.020010040711901406
E02001041,E02001043,30,0,0,0,0,0,0,16,4,1,9,0,2638.514050207398,0.020248005501963533
E02001041,E02001044,72,0,7,1,6,1,0,37,2,1,16,1,1743.1985131260324,0.013723839525967303
E02001041,E02001045,18,0,4,0,2,2,0,9,0,0,1,0,3388.437768205265,0.031146580527296495
E02001041,E02001048,12,0,1,0,0,0,0,7,0,0,4,0,2940.513283026807,0.025299509836455968
E02001041,E02001050,46,0,5,0,6,0,0,32,3,0,0,0,5570.078509033288,0.024842866422229513
E02001041,E02001052,36,0,4,0,9,1,0,18,1,3,0,0,4404.0022046157355,0.01354915742126776
E02001041,E02001055,18,0,0,0,1,1,1,15,0,0,0,0,8942.119876458955,0.01859570576504007
E02001041,E02001057,11,0,3,0,2,0,0,6,0,0,0,0,8037.852981680307,0.018071078754551766
E02001041,E02001059,16,0,0,0,1,0,1,13,1,0,0,0,10158.488041714761,0.017239976392635862
E02001041,E02001062,47,0,10,0,6,2,0,17,6,6,0,0,9501.833608372068,0.017878907899123542
E02001041,E02001063,27,0,6,0,7,0,0,13,1,0,0,0,10613.7511557279,0.022368840564223235
E02001041,E02001066,27,0,4,1,4,0,0,16,2,0,0,0,11128.980952274178,0.015932314754443747
E02001041,E02001259,21,0,5,0,0,0,0,15,1,0,0,0,10698.885652565146,0.021192397751338153
E02001041,E02006902,244,0,89,1,44,0,1,77,19,8,5,0,6998.876269768582,0.016990112225349317
E02001041,E02006912,138,0,49,2,22,1,3,51,2,8,0,0,8437.344164403796,0.018244373530842753
E02001041,E02006913,45,0,7,0,8,0,0,23,5,0,2,0,5157.490978799068,0.011880917112235793
E02001041,E02006914,33,0,14,0,6,0,0,11,1,1,0,0,9891.343312029136,0.02359404651439858
E02001041,E02006915,35,0,0,0,3,0,0,29,1,2,0,0,4896.774566491805,0.013705984351962531
E02001041,E02006917,81,0,35,0,11,0,1,30,3,1,0,0,9004.465300516755,0.023936152293487004
