Area of residence,Area of workplace,potential_demand
E02001041,E02001041,4
E02001041,E02001042,18
E02001041,E02001043,5
E02001041,E02001044,15
E02001041,E02001045,4
E02001041,E02001048,2
E02001041,E02001050,11
E02001041,E02001052,7
E02001041,E02001055,3
E02001041,E02001057,2
E02001041,E02001059,2
E02001041,E02001062,6
E02001041,E02001063,3
E02001041,E02001066,3
E02001041,E02001259,2
E02001041,E02006902,40
E02001041,E02006912,15
E02001041,E02006913,13
E02001041,E02006914,3
E02001041,E02006915,8
E02001041,E02006917,9
E02001042,E02001041,6
E02001042,E02001042,4
E02001042,E02001043,4
E02001042,E02001044,5
E02001042,E02001045,3
E02001042,E02001050,8
E02001042,E02001052,14
E02001042,E02001059,3
E02001042,E02001062,4
E02001042,E02001063,1
E02001042,E02001066,3
E02001042,E02001259,2
E02001042,E02006902,33
E02001042,E02006912,15
E02001042,E02006913,16
E02001042,E02006914,4
E02001042,E02006915,9
E02001042,E02006917,9
E02001043,E02001041,5
E02001043,E02001042,14
E02001043,E02001043,3
E02001043,E02001044,8
E02001043,E02001050,8
E02001043,E02001052,6
E02001043,E02001062,3
E02001043,E02001066,2
E02001043,E02001259,2
E02001043,E02006902,22
E02001043,E02006912,11
E02001043,E02006913,13
E02001043,E02006914,5
E02001043,E02006915,7
E02001043,E02006917,8
E02001044,E02001041,14
E02001044,E02001042,15
E02001044,E02001043,5
E02001044,E02001044,7
E02001044,E02001045,7
E02001044,E02001048,6
E02001044,E02001050,11
E02001044,E02001052,24
E02001044,E02001055,3
E02001044,E02001059,2
E02001044,E02001062,6
E02001044,E02001063,3
E02001044,E02001066,2
E02001044,E02001259,2
E02001044,E02006902,43
E02001044,E02006912,17
E02001044,E02006913,9
E02001044,E02006914,5
E02001044,E02006915,16
E02001044,E02006917,12
E02001045,E02001045,6
E02001045,E02001046,13
E02001045,E02001047,7
E02001045,E02001048,7
E02001045,E02001050,27
E02001045,E02001051,6
E02001045,E02001052,11
E02001045,E02001053,9
E02001045,E02001055,7
E02001045,E02001057,3
E02001045,E02001059,5
E02001045,E02001062,7
E02001045,E02001063,2
E02001045,E02001064,2
E02001045,E02001066,3
E02001045,E02001259,2
E02001045,E02006902,43
E02001045,E02006912,17
E02001045,E02006913,15
E02001045,E02006914,4
E02001045,E02006915,5
E02001045,E02006917,8
E02001046,E02001042,3
E02001046,E02001045,13
E02001046,E02001046,5
E02001046,E02001047,9
E02001046,E02001048,5
E02001046,E02001049,4
E02001046,E02001050,44
E02001046,E02001051,9
E02001046,E02001052,17
E02001046,E02001053,9
E02001046,E02001055,10
E02001046,E02001056,2
E02001046,E02001057,6
E02001046,E02001059,12
E02001046,E02001061,2
E02001046,E02001062,8
E02001046,E02001063,1
E02001046,E02001064,4
E02001046,E02001066,6
E02001046,E02001070,1
E02001046,E02001262,1
E02001046,E02006902,60
E02001046,E02006912,28
E02001046,E02006913,17
E02001046,E02006914,8
E02001046,E02006915,5
E02001046,E02006917,11
E02001047,E02001045,9
E02001047,E02001046,10
E02001047,E02001047,5
E02001047,E02001049,8
E02001047,E02001050,34
E02001047,E02001051,14
E02001047,E02001052,12
E02001047,E02001053,8
E02001047,E02001055,14
E02001047,E02001057,5
E02001047,E02001059,16
E02001047,E02001061,4
E02001047,E02001062,9
E02001047,E02001063,3
E02001047,E02001064,5
E02001047,E02001066,6
E02001047,E02001070,1
E02001047,E02001259,2
E02001047,E02006902,40
E02001047,E02006912,21
E02001047,E02006913,15
E02001047,E02006914,7
E02001047,E02006915,4
E02001047,E02006917,9
E02001048,E02001041,5
E02001048,E02001042,3
E02001048,E02001044,4
E02001048,E02001045,7
E02001048,E02001046,10
E02001048,E02001047,5
E02001048,E02001048,3
E02001048,E02001050,28
E02001048,E02001052,31
E02001048,E02001053,4
E02001048,E02001055,7
E02001048,E02001057,5
E02001048,E02001059,6
E02001048,E02001062,9
E02001048,E02001063,3
E02001048,E02001064,2
E02001048,E02001066,3
E02001048,E02001068,1
E02001048,E02001070,1
E02001048,E02001073,1
E02001048,E02001089,0
E02001048,E02001259,3
E02001048,E02001262,1
E02001048,E02006902,52
E02001048,E02006912,17
E02001048,E02006913,23
E02001048,E02006914,7
E02001048,E02006915,17
E02001048,E02006917,13
E02001049,E02001045,3
E02001049,E02001046,10
E02001049,E02001047,7
E02001049,E02001049,5
E02001049,E02001050,37
E02001049,E02001051,12
E02001049,E02001052,9
E02001049,E02001053,12
E02001049,E02001055,31
E02001049,E02001056,3
E02001049,E02001057,8
E02001049,E02001059,17
E02001049,E02001061,4
E02001049,E02001062,14
E02001049,E02001063,3
E02001049,E02001064,6
E02001049,E02001066,7
E02001049,E02001067,2
E02001049,E02001070,2
E02001049,E02001073,0
E02001049,E02001259,3
E02001049,E02006902,45
E02001049,E02006912,27
E02001049,E02006913,16
E02001049,E02006914,9
E02001049,E02006915,4
E02001049,E02006917,12
E02001050,E02001045,3
E02001050,E02001046,6
E02001050,E02001047,3
E02001050,E02001048,2
E02001050,E02001049,3
E02001050,E02001050,7
E02001050,E02001051,3
E02001050,E02001052,12
E02001050,E02001053,4
E02001050,E02001055,10
E02001050,E02001057,6
E02001050,E02001059,7
E02001050,E02001061,4
E02001050,E02001062,11
E02001050,E02001063,3
E02001050,E02001064,3
E02001050,E02001066,5
E02001050,E02001070,1
E02001050,E02001259,2
E02001050,E02006902,67
E02001050,E02006912,28
E02001050,E02006913,15
E02001050,E02006914,6
E02001050,E02006915,11
E02001050,E02006917,13
E02001051,E02001046,8
E02001051,E02001047,10
E02001051,E02001049,12
E02001051,E02001050,33
E02001051,E02001051,5
E02001051,E02001052,16
E02001051,E02001053,11
E02001051,E02001055,30
E02001051,E02001057,8
E02001051,E02001059,17
E02001051,E02001061,4
E02001051,E02001062,12
E02001051,E02001063,4
E02001051,E02001064,3
E02001051,E02001065,2
E02001051,E02001066,4
E02001051,E02001070,2
E02001051,E02001082,1
E02001051,E02001259,2
E02001051,E02006902,58
E02001051,E02006912,28
E02001051,E02006913,17
E02001051,E02006914,5
E02001051,E02006915,6
E02001051,E02006917,11
E02001052,E02001044,1
E02001052,E02001046,3
E02001052,E02001048,2
E02001052,E02001050,11
E02001052,E02001051,4
E02001052,E02001052,9
E02001052,E02001053,4
E02001052,E02001055,3
E02001052,E02001057,9
E02001052,E02001059,9
E02001052,E02001061,2
E02001052,E02001062,15
E02001052,E02001063,2
E02001052,E02001064,4
E02001052,E02001066,5
E02001052,E02001068,2
E02001052,E02001070,3
E02001052,E02001071,2
E02001052,E02001072,1
E02001052,E02001073,2
E02001052,E02001082,2
E02001052,E02001083,2
E02001052,E02001089,1
E02001052,E02001259,4
E02001052,E02001262,2
E02001052,E02006902,72
E02001052,E02006912,44
E02001052,E02006913,30
E02001052,E02006914,7
E02001052,E02006915,34
E02001052,E02006917,13
E02001053,E02001046,6
E02001053,E02001047,6
E02001053,E02001049,5
E02001053,E02001050,16
E02001053,E02001051,7
E02001053,E02001052,9
E02001053,E02001053,3
E02001053,E02001055,15
E02001053,E02001057,5
E02001053,E02001059,15
E02001053,E02001061,4
E02001053,E02001062,6
E02001053,E02001063,4
E02001053,E02001064,4
E02001053,E02001066,4
E02001053,E02001070,4
E02001053,E02001089,1
E02001053,E02001259,3
E02001053,E02006902,41
E02001053,E02006912,32
E02001053,E02006913,14
E02001053,E02006914,6
E02001053,E02006915,6
E02001053,E02006917,14
E02001055,E02001049,3
E02001055,E02001050,13
E02001055,E02001051,3
E02001055,E02001052,4
E02001055,E02001053,6
E02001055,E02001055,17
E02001055,E02001056,7
E02001055,E02001057,6
E02001055,E02001059,18
E02001055,E02001061,8
E02001055,E02001062,13
E02001055,E02001063,3
E02001055,E02001064,5
E02001055,E02001066,10
E02001055,E02001070,1
E02001055,E02001259,2
E02001055,E02006902,44
E02001055,E02006912,28
E02001055,E02006913,6
E02001055,E02006914,7
E02001055,E02006915,3
E02001055,E02006917,14
E02001056,E02001049,2
E02001056,E02001050,3
E02001056,E02001052,3
E02001056,E02001053,2
E02001056,E02001055,15
E02001056,E02001056,3
E02001056,E02001057,9
E02001056,E02001059,30
E02001056,E02001061,10
E02001056,E02001062,15
E02001056,E02001063,3
E02001056,E02001064,5
E02001056,E02001066,7
E02001056,E02001070,3
E02001056,E02001083,2
E02001056,E02001259,2
E02001056,E02006902,36
E02001056,E02006912,19
E02001056,E02006913,4
E02001056,E02006914,4
E02001056,E02006915,2
E02001056,E02006917,10
E02001057,E02001050,7
E02001057,E02001052,4
E02001057,E02001055,7
E02001057,E02001056,2
E02001057,E02001057,5
E02001057,E02001059,13
E02001057,E02001061,5
E02001057,E02001062,17
E02001057,E02001063,3
E02001057,E02001064,5
E02001057,E02001066,14
E02001057,E02001070,6
E02001057,E02001077,2
E02001057,E02001082,4
E02001057,E02001083,1
E02001057,E02001089,1
E02001057,E02001259,5
E02001057,E02001262,2
E02001057,E02006902,61
E02001057,E02006912,28
E02001057,E02006913,8
E02001057,E02006914,8
E02001057,E02006915,4
E02001057,E02006917,15
E02001059,E02001046,3
E02001059,E02001050,7
E02001059,E02001051,3
E02001059,E02001052,3
E02001059,E02001055,12
E02001059,E02001056,5
E02001059,E02001057,7
E02001059,E02001059,13
E02001059,E02001061,18
E02001059,E02001062,31
E02001059,E02001063,10
E02001059,E02001064,10
E02001059,E02001065,4
E02001059,E02001066,17
E02001059,E02001067,3
E02001059,E02001070,3
E02001059,E02001076,2
E02001059,E02001083,2
E02001059,E02001089,3
E02001059,E02001259,5
E02001059,E02001262,3
E02001059,E02006902,79
E02001059,E02006912,45
E02001059,E02006913,8
E02001059,E02006914,10
E02001059,E02006915,8
E02001059,E02006917,21
E02001061,E02001050,4
E02001061,E02001055,7
E02001061,E02001056,3
E02001061,E02001057,7
E02001061,E02001059,29
E02001061,E02001061,8
E02001061,E02001062,27
E02001061,E02001063,9
E02001061,E02001064,14
E02001061,E02001065,6
E02001061,E02001066,17
E02001061,E02001067,4
E02001061,E02001070,3
E02001061,E02001071,5
E02001061,E02001073,1
E02001061,E02001075,5
E02001061,E02001082,2
E02001061,E02001083,2
E02001061,E02001085,4
E02001061,E02001189,5
E02001061,E02001242,2
E02001061,E02001247,3
E02001061,E02001259,4
E02001061,E02001262,2
E02001061,E02006902,38
E02001061,E02006912,25
E02001061,E02006913,2
E02001061,E02006914,7
E02001061,E02006915,1
E02001061,E02006917,11
E02001062,E02001057,3
E02001062,E02001059,5
E02001062,E02001061,4
E02001062,E02001062,13
E02001062,E02001063,5
E02001062,E02001064,18
E02001062,E02001066,17
E02001062,E02001069,4
E02001062,E02001070,6
E02001062,E02001071,4
E02001062,E02001073,4
E02001062,E02001076,4
E02001062,E02001080,3
E02001062,E02001083,4
E02001062,E02001086,3
E02001062,E02001089,4
E02001062,E02001188,3
E02001062,E02001259,3
E02001062,E02001262,3
E02001062,E02006902,33
E02001062,E02006912,23
E02001062,E02006913,5
E02001062,E02006914,4
E02001062,E02006915,3
E02001062,E02006917,12
E02001063,E02001050,2
E02001063,E02001055,2
E02001063,E02001057,4
E02001063,E02001059,5
E02001063,E02001061,3
E02001063,E02001062,34
