Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001041,E02001041,138,0,8,1,9,1,0,44,4,1,70,0,0,0.016707416966134273,0.007246376811594203,0.014124983166897186,0.5130184387459347,2,3,0.021739130434782608,0,NA,NA
E02001041,E02001042,134,0,8,0,5,1,0,48,11,1,59,1,1655.1681727946664,0.0200100407119014,0.007462686567164179,0.04946410041391516,0.1508707629314287,7,8,0.05970149253731343,1.6551681727946663,1-2 km,0-2 km
E02001041,E02001043,30,0,0,0,0,0,0,16,4,1,9,0,2638.7591711243435,0.02020995900131195,0.03333333333333333,0.051744127676310814,0.6441954832411602,2,3,0.1,2.6387591711243434,2-3 km,2-4 km
E02001041,E02001044,72,0,7,1,6,1,0,37,2,1,16,1,1742.917358353857,0.01372605050126018,0.013888888888888888,0.06273232063692721,0.22139925237698332,4,5,0.06944444444444445,1.742917358353857,1-2 km,0-2 km
E02001041,E02001045,18,0,4,0,2,2,0,9,0,0,1,0,3396.345237926704,0.03106450693646454,0,0.03288920005157743,0,1,1,0.05555555555555555,3.3963452379267043,3-4 km,2-4 km
E02001041,E02001048,12,0,1,0,0,0,0,7,0,0,4,0,2955.0402038410425,0.02528675347657504,0,0.042286040999271926,0,1,1,0.08333333333333333,2.9550402038410426,2-3 km,2-4 km
E02001041,E02001050,46,0,5,0,6,0,0,32,3,0,0,0,5584.162381436985,0.02483928017269749,0,0.03407673871587491,0,2,2,0.043478260869565216,5.584162381436985,5-6 km,4-6 km
E02001041,E02001052,36,0,4,0,9,1,0,18,1,3,0,0,4403.72104984356,0.01355002175388091,0.08333333333333333,0.06147091775694055,1.3556546148023687,2,5,0.1388888888888889,4.4037210498435595,4-5 km,4-6 km
E02001041,E02001055,18,0,0,0,1,1,1,15,0,0,0,0,8957.086421743901,0.01860145073944576,0,0.027927898977343216,0,1,1,0.05555555555555555,8.9570864217439,8-9 km,8-10 km
E02001041,E02001057,11,0,3,0,2,0,0,6,0,0,0,0,8039.267233250408,0.01816278923235484,0,0.032464201411969255,0,0,0,0,8.039267233250408,8-9 km,8-10 km
E02001041,E02001059,16,0,0,0,1,0,1,13,1,0,0,0,10148.78145111268,0.01722229843106055,0,0.024987495941992448,0,0,0,0,10.14878145111268,10-11 km,10-11 km
E02001041,E02001062,47,0,10,0,6,2,0,17,6,6,0,0,9501.805120348858,0.01787896435542182,0.1276595744680851,0.026642709940859256,4.791538651715995,1,7,0.14893617021276595,9.501805120348857,9-10 km,8-10 km
E02001041,E02001063,27,0,6,0,7,0,0,13,1,0,0,0,10628.165620868152,0.02240113168905952,0,0.01863363202507253,0,1,1,0.037037037037037035,10.628165620868153,10-11 km,10-11 km
E02001041,E02001066,27,0,4,1,4,0,0,16,2,0,0,0,11128.952464483356,0.01595879156084298,0,0.022990570313893746,0,1,1,0.037037037037037035,11.128952464483357,11-12 km,11-12 km
E02001041,E02001259,21,0,5,0,0,0,0,15,1,0,0,0,10724.835466440352,0.02121361159241858,0,0.01935847696274961,0,0,0,0,10.724835466440352,10-11 km,10-11 km
