MSOA11CD,MSOA11NM,TCITY15CD,city,FID
E02001187,Stockport 001,J01000058,Manchester,988
E02001188,Stockport 002,J01000058,Manchester,989
E02001189,Stockport 003,J01000058,Manchester,990
E02001041,Bury 023,J01000058,Manchester,1041
E02001042,Bury 024,J01000058,Manchester,1050
E02001043,Bury 025,J01000058,Manchester,1054
E02001044,Bury 026,J01000058,Manchester,1059
E02001045,Manchester 001,J01000058,Manchester,1064
E02001046,Manchester 002,J01000058,Manchester,1069
E02001047,Manchester 003,J01000058,Manchester,1074
E02001048,Manchester 004,J01000058,Manchester,1079
E02001049,Manchester 005,J01000058,Manchester,1084
E02001242,Tameside 014,J01000058,Manchester,1155
E02001050,Manchester 006,J01000058,Manchester,1162
E02001051,Manchester 007,J01000058,Manchester,1163
E02001052,Manchester 008,J01000058,Manchester,1164
E02001053,Manchester 009,J01000058,Manchester,1165
E02001055,Manchester 011,J01000058,Manchester,1166
E02001056,Manchester 012,J01000058,Manchester,1167
E02001057,Manchester 013,J01000058,Manchester,1168
E02001059,Manchester 015,J01000058,Manchester,1169
E02001061,Manchester 017,J01000058,Manchester,1170
E02001062,Manchester 018,J01000058,Manchester,1171
E02001063,Manchester 019,J01000058,Manchester,1172
E02001064,Manchester 020,J01000058,Manchester,1173
E02001065,Manchester 021,J01000058,Manchester,1174
E02001066,Manchester 022,J01000058,Manchester,1175
E02001067,Manchester 023,J01000058,Manchester,1176
E02001068,Manchester 024,J01000058,Manchester,1177
E02001069,Manchester 025,J01000058,Manchester,1178
E02001070,Manchester 026,J01000058,Manchester,1179
E02001071,Manchester 027,J01000058,Manchester,1180
E02001072,Manchester 028,J01000058,Manchester,1181
E02001073,Manchester 029,J01000058,Manchester,1182
E02001074,Manchester 030,J01000058,Manchester,1183
E02001075,Manchester 031,J01000058,Manchester,1184
E02001076,Manchester 032,J01000058,Manchester,1185
E02001077,Manchester 033,J01000058,Manchester,1186
E02001078,Manchester 034,J01000058,Manchester,1187
E02001079,Manchester 035,J01000058,Manchester,1188
E02001080,Manchester 036,J01000058,Manchester,1189
E02001081,Manchester 037,J01000058,Manchester,1190
E02001082,Manchester 038,J01000058,Manchester,1191
E02001083,Manchester 039,J01000058,Manchester,1192
E02001084,Manchester 040,J01000058,Manchester,1193
E02001085,Manchester 041,J01000058,Manchester,1194
E02001086,Manchester 042,J01000058,Manchester,1195
E02001087,Manchester 043,J01000058,Manchester,1196
E02001089,Manchester 045,J01000058,Manchester,1198
E02001247,Tameside 019,J01000058,Manchester,1223
E02001259,Trafford 001,J01000058,Manchester,1564
E02001262,Trafford 004,J01000058,Manchester,1567
E02006902,Manchester 054,J01000058,Manchester,6490
E02006912,Manchester 055,J01000058,Manchester,6514
E02006913,Manchester 056,J01000058,Manchester,6521
E02006914,Manchester 057,J01000058,Manchester,6528
E02006915,Manchester 058,J01000058,Manchester,6572
E02006916,Manchester 059,J01000058,Manchester,6577
E02006917,Manchester 060,J01000058,Manchester,6582
