Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02002868,E02002868,133,0,2,0,5,2,0,40,6,2,76,0,Nottingham,Nottingham
E02002868,E02002869,70,0,0,0,9,4,0,37,5,2,13,0,Nottingham,Nottingham
E02002868,E02002871,20,0,0,0,0,1,0,13,1,0,5,0,Nottingham,Nottingham
E02002868,E02002872,56,0,0,0,4,1,1,42,2,1,5,0,Nottingham,Nottingham
E02002868,E02002873,12,0,0,0,5,0,0,7,0,0,0,0,Nottingham,Nottingham
E02002868,E02002874,137,0,0,0,34,0,0,87,9,1,6,0,Nottingham,Nottingham
E02002868,E02002875,17,0,0,0,0,0,0,12,1,0,4,0,Nottingham,Nottingham
E02002868,E02002876,29,0,1,0,5,0,1,19,2,1,0,0,Nottingham,Nottingham
E02002868,E02002877,23,0,0,0,4,0,0,19,0,0,0,0,Nottingham,Nottingham
E02002868,E02002879,39,0,0,0,5,0,0,30,1,1,1,1,Nottingham,Nottingham
E02002868,E02002881,20,0,0,0,1,0,0,16,3,0,0,0,Nottingham,Nottingham
E02002868,E02002882,17,0,0,0,5,0,0,9,3,0,0,0,Nottingham,Nottingham
E02002868,E02002883,11,0,0,0,1,0,0,8,1,1,0,0,Nottingham,Nottingham
E02002868,E02002884,33,0,0,0,9,0,0,22,1,0,1,0,Nottingham,Nottingham
E02002868,E02002885,18,0,1,0,2,0,0,13,1,0,1,0,Nottingham,Nottingham
E02002868,E02002886,19,0,1,0,2,0,0,14,1,0,1,0,Nottingham,Nottingham
E02002868,E02002889,58,0,5,0,18,0,2,27,4,0,2,0,Nottingham,Nottingham
E02002868,E02002890,102,0,3,0,57,0,0,32,5,1,4,0,Nottingham,Nottingham
E02002868,E02002892,18,0,0,0,5,0,0,12,1,0,0,0,Nottingham,Nottingham
E02002868,E02002893,26,0,0,0,8,1,0,15,0,2,0,0,Nottingham,Nottingham
E02002868,E02002895,43,0,5,0,21,0,0,16,1,0,0,0,Nottingham,Nottingham
E02002868,E02002896,41,0,0,0,10,0,1,27,0,3,0,0,Nottingham,Nottingham
E02002868,E02002898,88,0,1,0,29,0,0,50,4,3,1,0,Nottingham,Nottingham
E02002868,E02002899,26,0,0,0,5,0,1,19,1,0,0,0,Nottingham,Nottingham
E02002868,E02006834,31,0,0,0,3,0,0,19,3,1,5,0,Nottingham,Nottingham
E02002868,E02006835,22,0,0,0,2,0,0,14,3,0,3,0,Nottingham,Nottingham
E02002868,E02006904,159,0,22,2,75,0,6,46,1,4,2,1,Nottingham,Nottingham
E02002868,E02006905,45,0,1,0,14,0,0,28,2,0,0,0,Nottingham,Nottingham
E02002869,E02002868,18,0,0,0,1,0,0,7,1,4,5,0,Nottingham,Nottingham
E02002869,E02002869,325,0,7,0,19,3,0,80,10,5,201,0,Nottingham,Nottingham
E02002869,E02002871,51,0,4,0,6,1,0,20,0,4,16,0,Nottingham,Nottingham
E02002869,E02002872,116,0,3,0,8,4,1,39,9,6,45,1,Nottingham,Nottingham
E02002869,E02002874,93,0,3,0,34,0,0,45,5,4,2,0,Nottingham,Nottingham
E02002869,E02002875,30,0,3,2,6,0,0,12,2,4,1,0,Nottingham,Nottingham
E02002869,E02002876,29,0,2,0,9,1,0,11,2,1,2,1,Nottingham,Nottingham
E02002869,E02002877,18,0,0,1,4,0,0,10,2,0,1,0,Nottingham,Nottingham
E02002869,E02002879,41,0,5,0,13,0,1,17,4,0,0,1,Nottingham,Nottingham
E02002869,E02002881,22,0,0,0,3,1,0,13,3,0,2,0,Nottingham,Nottingham
E02002869,E02002884,26,0,1,0,9,0,0,16,0,0,0,0,Nottingham,Nottingham
E02002869,E02002885,33,0,16,0,3,0,0,9,4,0,1,0,Nottingham,Nottingham
E02002869,E02002886,23,0,2,0,1,0,0,16,1,1,2,0,Nottingham,Nottingham
E02002869,E02002887,30,0,0,0,7,0,0,17,1,0,5,0,Nottingham,Nottingham
E02002869,E02002889,50,0,19,0,22,0,0,6,1,0,2,0,Nottingham,Nottingham
