Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02002868,E02002868,133,0,2,0,5,2,0,40,6,2,76,0,0,NaN
E02002868,E02002869,70,0,0,0,9,4,0,37,5,2,13,0,2431.488656180088,0.022266879284124515
E02002868,E02002871,20,0,0,0,0,1,0,13,1,0,5,0,2121.883735582328,0.022302184013827994
E02002868,E02002872,56,0,0,0,4,1,1,42,2,1,5,0,3453.5686491363413,0.021229643273145065
E02002868,E02002873,12,0,0,0,5,0,0,7,0,0,0,0,2592.714563871737,0.024931061757843227
E02002868,E02002874,137,0,0,0,34,0,0,87,9,1,6,0,3461.1044046125917,0.02668049835744494
E02002868,E02002875,17,0,0,0,0,0,0,12,1,0,4,0,3248.358461259422,0.021019830394525273
E02002868,E02002876,29,0,1,0,5,0,1,19,2,1,0,0,4243.726744639874,0.024025793064684695
E02002868,E02002877,23,0,0,0,4,0,0,19,0,0,0,0,4823.3535633418815,0.029841664415420677
E02002868,E02002879,39,0,0,0,5,0,0,30,1,1,1,1,4968.48927435212,0.023309797305755102
E02002868,E02002881,20,0,0,0,1,0,0,16,3,0,0,0,6673.910293571969,0.019462026690249323
E02002868,E02002882,17,0,0,0,5,0,0,9,3,0,0,0,6462.157640001063,0.03145094488466739
E02002868,E02002883,11,0,0,0,1,0,0,8,1,1,0,0,6880.894219166146,0.03649760064044963
E02002868,E02002884,33,0,0,0,9,0,0,22,1,0,1,0,5881.153094152509,0.029791222136539855
E02002868,E02002885,18,0,1,0,2,0,0,13,1,0,1,0,5756.884272530802,0.018550273164212115
E02002868,E02002886,19,0,1,0,2,0,0,14,1,0,1,0,6216.4394736542135,0.019662428696829472
E02002868,E02002889,58,0,5,0,18,0,2,27,4,0,2,0,6906.57663455446,0.02415469103808948
E02002868,E02002890,102,0,3,0,57,0,0,32,5,1,4,0,7912.165198497748,0.033740919276706076
E02002868,E02002892,18,0,0,0,5,0,0,12,1,0,0,0,8545.95546916157,0.019077067559725464
E02002868,E02002893,26,0,0,0,8,1,0,15,0,2,0,0,6920.044901909972,0.01925193809274192
E02002868,E02002895,43,0,5,0,21,0,0,16,1,0,0,0,7414.157744211235,0.02268512990846533
E02002868,E02002896,41,0,0,0,10,0,1,27,0,3,0,0,9051.861504560655,0.041682446978199006
E02002868,E02002898,88,0,1,0,29,0,0,50,4,3,1,0,8410.782855276519,0.018606080398684718
E02002868,E02002899,26,0,0,0,5,0,1,19,1,0,0,0,10151.600093676265,0.02075584863919066
E02002868,E02006834,31,0,0,0,3,0,0,19,3,1,5,0,1453.3621652268437,0.0191576143922229
E02002868,E02006835,22,0,0,0,2,0,0,14,3,0,3,0,1194.7314459171798,0.022560299862466715
E02002868,E02006904,159,0,22,2,75,0,6,46,1,4,2,1,8944.450166178385,0.03144017827333899
E02002868,E02006905,45,0,1,0,14,0,0,28,2,0,0,0,9699.577023029544,0.026447845540739066
E02002869,E02002868,18,0,0,0,1,0,0,7,1,4,5,0,2414.613869441173,0.020264649936929273
E02002869,E02002869,325,0,7,0,19,3,0,80,10,5,201,0,0,0.042398070756479944
E02002869,E02002871,51,0,4,0,6,1,0,20,0,4,16,0,1487.3856914584185,0.03908247263944161
E02002869,E02002872,116,0,3,0,8,4,1,39,9,6,45,1,1648.0462015378034,0.019649134336720227
E02002869,E02002874,93,0,3,0,34,0,0,45,5,4,2,0,4561.974490865666,0.01914189480784931
E02002869,E02002875,30,0,3,2,6,0,0,12,2,4,1,0,2960.220798190092,0.02097999832411067
E02002869,E02002876,29,0,2,0,9,1,0,11,2,1,2,1,3379.4209031210294,0.018800755498665125
E02002869,E02002877,18,0,0,1,4,0,0,10,2,0,1,0,5461.642393873155,0.022266879284124515
E02002869,E02002879,41,0,5,0,13,0,1,17,4,0,0,1,4683.177875478317,NaN
E02002869,E02002881,22,0,0,0,3,1,0,13,3,0,2,0,5423.041665636503,0.023939888784038698
E02002869,E02002884,26,0,1,0,9,0,0,16,0,0,0,0,5470.791909922126,0.029470605342097316
E02002869,E02002885,33,0,16,0,3,0,0,9,4,0,1,0,5376.813207390684,0.025228236868072018
E02002869,E02002886,23,0,2,0,1,0,0,16,1,1,2,0,5591.625097148461,0.02571011258699858
E02002869,E02002887,30,0,0,0,7,0,0,17,1,0,5,0,5673.62119349336,0.01873491048122634
E02002869,E02002889,50,0,19,0,22,0,0,6,1,0,2,0,6526.505569414341,0.016459441526123872
E02002869,E02002890,67,0,17,0,20,0,0,22,1,2,5,0,7495.088634477923,0.027766815175221032
E02002869,E02002892,15,0,0,0,6,0,0,6,1,2,0,0,7258.846128568018,0.015261789391027554
E02002869,E02002893,32,0,5,0,8,0,0,12,2,3,2,0,6539.973836769854,0.018607747459704806
E02002869,E02002895,38,0,8,0,8,0,0,20,1,1,0,0,7034.086679071116,0.02006255999474691
E02002869,E02002896,41,0,9,1,6,0,0,22,0,0,3,0,8963.4434370002,0.033700830888686036
E02002869,E02002898,82,0,4,1,29,0,2,33,6,5,2,0,8030.7117901364,0.017256220216077225
E02002869,E02002899,19,0,0,0,4,0,0,13,1,1,0,0,9526.785717170513,0.012065386200787214
E02002869,E02006834,11,0,0,0,0,0,0,9,1,0,1,0,3523.5429576485985,0.01531083741434082
E02002869,E02006835,11,0,1,0,2,0,0,4,1,0,3,0,3597.2535435594828,0.019015743154746797
E02002869,E02006904,202,0,70,6,53,1,1,48,10,3,8,2,8582.135942942716,0.02216836947727571
E02002869,E02006905,54,0,13,0,7,1,1,26,5,1,0,0,9319.505957889422,0.018410769704871963
E02002871,E02002868,60,0,1,0,2,0,0,22,6,3,26,0,2075.1152947345236,0.013949008256702856
E02002871,E02002869,200,0,0,0,14,1,0,74,9,5,97,0,1487.3856914584185,0.017924478396319433
E02002871,E02002871,141,0,2,0,10,1,0,39,7,5,77,0,0,0.024752785366312775
E02002871,E02002872,132,0,2,0,10,0,0,64,16,3,37,0,2154.0309175676966,0.01408289394361125
E02002871,E02002874,168,0,0,0,60,1,1,73,19,1,13,0,3100.006552833251,0.01825551061266913
E02002871,E02002875,57,0,2,0,3,0,0,26,9,2,15,0,1472.8351067316732,0.02411022812711913
E02002871,E02002876,41,0,1,0,6,1,0,22,5,1,5,0,2468.203390112126,0.027173343804322105
E02002871,E02002877,28,0,0,0,9,0,0,17,1,1,0,0,3999.674455840742,0.023659023060184213
E02002871,E02002879,65,0,0,0,14,1,0,36,5,2,7,0,3192.965919824371,0.02293781600117779
E02002871,E02002881,29,0,0,0,3,0,0,21,4,0,1,0,4888.923839583049,0.017496718347558615
E02002871,E02002882,29,0,1,0,8,0,0,16,3,1,0,0,5041.128269011461,0.03949614941175879
E02002871,E02002883,12,0,0,0,2,0,1,7,2,0,0,0,6408.713409217046,0.024578242967570888
E02002871,E02002884,43,0,0,0,14,0,0,26,2,0,1,0,4105.629739624762,0.017628723235777886
E02002871,E02002885,39,0,4,0,11,0,0,18,3,0,1,2,3981.3609180030485,0.018183454890938665
E02002871,E02002886,31,0,2,0,0,0,0,21,4,1,3,0,4440.916119126464,0.017632570906328606
E02002871,E02002887,49,0,1,0,10,0,0,35,1,2,0,0,5544.405776822527,0.019852869313383054
E02002871,E02002889,57,0,8,0,25,0,0,19,2,2,1,0,5131.05328002671,0.022302184013827994
E02002871,E02002890,116,0,8,0,67,0,2,31,4,0,4,0,6129.9264641805585,0.023939888784038698
E02002871,E02002892,20,0,0,0,6,0,1,10,0,2,1,0,6760.969015172648,NaN
E02002871,E02002893,39,0,0,0,7,0,0,27,2,2,1,0,5144.52154738222,0.02466199469014519
E02002871,E02002895,55,0,8,0,17,0,0,26,2,1,0,1,5638.634389683481,0.02551536811520037
E02002871,E02002896,66,0,0,1,16,1,3,38,2,3,1,1,7598.281266702831,0.02606620412485394
E02002871,E02002898,155,0,1,0,37,0,1,90,12,13,1,0,6635.259500748767,0.013531428681315788
E02002871,E02002899,30,0,1,0,13,0,0,13,0,2,1,0,8376.07673914852,0.021605220077530924
E02002871,E02006834,12,0,0,0,1,0,0,10,0,0,1,0,2573.260187652021,0.02881244744512129
E02002871,E02006835,24,0,0,0,5,1,0,12,0,1,5,0,2669.512637852162,0.0210789286095791
E02002871,E02006904,291,0,40,11,123,2,2,86,9,7,7,4,7186.6836535550865,0.020750433457239006
E02002871,E02006905,97,0,2,3,22,0,0,57,8,2,3,0,7924.053668501793,0.023433222318152907
E02002872,E02002868,31,0,0,0,7,0,0,15,0,3,6,0,3436.6938623974283,0.03570866499650986
E02002872,E02002869,300,0,7,2,32,2,1,88,18,9,140,1,1648.0462015378037,0.020448360939815054
E02002872,E02002871,55,0,1,0,10,1,1,19,2,3,18,0,2154.0309175676966,0.014681213526163221
E02002872,E02002872,236,0,3,0,19,2,5,82,6,18,101,0,0,0.016483798532431242
E02002872,E02002874,116,0,1,0,44,0,1,57,10,1,2,0,5013.176582535914,0.023017730632964663
E02002872,E02002875,48,0,2,0,7,0,1,23,8,0,7,0,2990.373850621095,0.025398542164170507
E02002872,E02002876,60,0,2,0,10,0,0,35,4,1,8,0,2880.462465151294,0.019913241893300286
E02002872,E02002877,17,0,0,0,6,0,0,11,0,0,0,0,5470.402818818459,0.0164888543950463
E02002872,E02002879,58,0,2,0,18,1,2,25,7,0,3,0,4184.219437508582,0.021221490303263778
E02002872,E02002881,41,0,0,0,0,0,0,34,5,1,1,0,4121.768287837676,0.02782539417104624
E02002872,E02002882,20,0,0,0,8,0,0,11,0,0,1,0,5907.332001339091,0.016180146370886626
E02002872,E02002884,46,0,0,0,11,0,0,30,1,0,4,0,4971.833471952392,0.019339151301464838
E02002872,E02002885,50,0,16,2,5,0,0,22,2,0,2,1,4877.854769420946,0.02298098565572847
E02002872,E02002886,40,0,0,0,13,0,0,23,3,0,1,0,5092.666659178724,0.026309369595593872
E02002872,E02002887,48,0,0,0,14,0,0,26,2,3,3,0,5061.097265119682,0.02741900225023371
E02002872,E02002889,54,0,16,0,21,0,0,11,4,0,2,0,6027.547131444606,0.026223419236679164
E02002872,E02002890,81,0,8,1,33,0,1,31,1,2,2,2,6996.130196508188,0.019931441670905412
E02002872,E02002891,11,0,0,0,2,0,0,8,1,0,0,0,9068.641045982868,0.04212151439365153
E02002872,E02002892,35,0,0,0,4,0,0,26,0,2,3,0,5957.572750769191,0.03851038885169937
E02002872,E02002893,39,0,6,0,15,0,0,15,2,1,0,0,6041.015398800116,0.02160162944669954
E02002872,E02002895,54,0,9,0,24,0,0,16,3,1,0,1,6535.128241101378,0.016906866402127258
E02002872,E02002896,48,0,0,0,16,2,0,27,0,1,2,0,8464.484999030463,0.018296560576253014
E02002872,E02002898,121,0,2,0,25,0,1,73,14,5,1,0,7531.753352166661,0.0169248974606309
E02002872,E02002899,30,0,1,0,6,0,0,21,0,1,1,0,8681.864401036488,0.021229643273145065
E02002872,E02006834,14,0,1,0,0,0,0,11,1,0,1,0,4212.6911409947,0.029470605342097316
E02002872,E02006904,259,0,64,4,85,3,2,82,5,7,6,1,8083.177504972982,0.02466199469014519
E02002872,E02006905,86,0,7,2,15,0,0,51,5,1,4,1,8820.547519919686,NaN
E02002873,E02002868,64,0,0,1,9,0,0,20,5,0,29,0,2592.7145638717375,0.027474334605731843
E02002873,E02002869,77,0,0,0,31,0,1,31,7,0,7,0,3202.036605546901,0.020942263050355403
E02002873,E02002871,31,0,0,0,3,0,0,12,3,1,12,0,1740.0686675144868,0.020607100557435355
E02002873,E02002872,50,0,1,0,15,0,0,21,8,4,1,0,3675.222846779717,0.023735983452356547
E02002873,E02002873,96,0,1,0,12,1,0,31,3,2,46,0,0,0.018895005304770694
E02002873,E02002874,269,0,0,0,31,1,0,73,15,6,143,0,1721.4640265253206,0.020100707238336072
E02002873,E02002875,51,0,0,1,4,1,0,27,2,4,12,0,1298.0874677908744,0.018619711970598453
E02002873,E02002876,19,0,0,0,1,0,0,12,0,1,5,0,2518.659470203192,0.023926485366525897
E02002873,E02002877,50,0,1,0,14,2,0,19,7,0,7,0,3047.9146738577588,0.029115094601506297
E02002873,E02002879,56,0,0,0,12,2,0,32,5,1,4,0,2903.2642192297644,0.0215521617428469
E02002873,E02002881,27,0,0,0,3,0,0,19,3,1,1,0,5580.020782952115,0.015912295230540434
E02002873,E02002882,36,0,0,0,21,0,0,10,4,0,1,0,3932.2234801311156,0.019336778096643657
E02002873,E02002883,17,0,0,0,4,0,1,12,0,0,0,0,5141.253841078874,0.022769343909534844
E02002873,E02002884,49,0,0,0,19,0,1,27,1,0,1,0,3882.11139615369,0.025570196816015973
E02002873,E02002885,31,0,1,0,6,0,0,22,1,0,1,0,3941.8913178972493,0.018376092970415585
E02002873,E02002886,24,0,0,0,7,0,0,14,1,2,0,0,4407.885849721257,0.017215342551742282
E02002873,E02002887,30,0,0,0,5,0,0,21,2,0,2,0,5921.044377733073,0.021242538232632148
E02002873,E02002888,13,0,0,0,2,0,0,8,2,1,0,0,5415.493818298596,0.027718834337436417
E02002873,E02002889,94,0,8,0,46,2,0,29,1,1,6,1,5091.58367992091,0.01682640218892265
E02002873,E02002890,140,0,0,1,85,2,1,37,5,5,4,0,5382.231038627801,0.028240646214980587
E02002873,E02002892,26,0,0,0,8,0,0,14,1,1,2,0,7311.759159218089,0.02425294248922328
E02002873,E02002893,34,0,0,0,14,1,0,15,0,1,3,0,5105.051947276421,0.02628897036596174
E02002873,E02002895,74,0,1,0,43,0,0,20,3,3,4,0,5599.164789577681,0.026738632492467905
E02002873,E02002896,83,0,0,0,33,1,2,42,4,0,1,0,6780.119285890108,0.025722226756423407
E02002873,E02002898,190,0,0,0,66,1,0,94,12,11,5,1,6595.789900642967,0.030133525844566217
E02002873,E02002899,30,0,0,0,8,0,1,18,1,1,1,0,8343.046469743313,0.03327226837411414
E02002873,E02006834,50,0,0,0,5,0,0,15,1,1,26,2,1895.7861713266116,0.027962257308417882
E02002873,E02006835,24,0,0,0,7,0,0,11,1,1,4,0,2838.887899467046,0.03984645467394404
E02002873,E02006904,317,0,11,0,182,0,3,84,19,5,12,1,6414.516006308437,0.028316644151523622
E02002873,E02006905,79,0,0,0,36,0,2,35,4,0,2,0,7211.251291134314,0.033641825778418774
E02002874,E02002868,23,0,0,0,14,0,0,9,0,0,0,0,3461.1044046125935,0.02007674389056557
E02002874,E02002869,15,0,1,0,1,0,0,12,1,0,0,0,4581.104321001197,0.024931061757843227
E02002874,E02002871,15,0,0,0,4,0,0,9,0,1,1,0,3119.136382968782,0.025228236868072018
E02002874,E02002872,22,0,1,0,6,0,0,11,2,1,1,0,5021.554839748501,0.02551536811520037
E02002874,E02002873,13,0,0,0,3,0,0,6,1,0,3,0,1721.4640265253204,0.027474334605731843
E02002874,E02002874,332,0,1,1,18,3,3,76,7,4,219,0,0,NaN
E02002874,E02002876,14,0,0,0,3,0,0,9,0,0,2,0,3329.620090085065,0.03243066455072368
E02002874,E02002877,84,0,0,0,7,1,4,34,5,2,31,0,1362.2491587292902,0.031037183562529404
E02002874,E02002879,53,0,0,0,8,0,0,25,6,2,12,0,2098.6906916138846,0.029312277471965627
E02002874,E02002881,24,0,0,0,2,0,0,20,1,0,1,0,6264.8844231036865,0.034815014799477226
E02002874,E02002882,28,0,0,0,6,0,0,16,4,0,2,0,3001.0532353884705,0.032707369804911075
E02002874,E02002883,19,0,0,0,5,0,0,10,0,0,4,0,3419.7898145535564,0.024653242610283573
E02002874,E02002884,52,0,1,0,18,0,0,25,3,0,5,0,2693.666741489888,0.03530383222125486
E02002874,E02002885,46,0,0,0,9,1,0,31,2,1,2,0,3656.267917943645,0.041706200319353
E02002874,E02002886,24,0,0,0,5,0,0,15,0,2,2,0,4249.902835189468,0.032446329481127745
E02002874,E02002887,17,0,0,0,4,0,0,12,0,0,1,0,6428.977160820913,0.022172899537424726
E02002874,E02002888,15,0,0,1,3,1,0,9,0,0,1,0,3694.0297917732737,0.021164863670443904
E02002874,E02002889,103,0,0,0,46,0,1,42,7,3,4,0,4114.673280609773,0.02902949714509906
E02002874,E02002890,122,0,0,0,63,1,0,37,7,1,13,0,4451.0607938851545,0.037312170901147475
E02002874,E02002892,15,0,0,0,3,0,0,10,0,1,1,0,7820.572691146232,0.022126889776446914
E02002874,E02002893,32,0,0,0,17,0,0,14,0,0,1,0,4970.551836527737,0.022297887195753537
E02002874,E02002895,86,0,0,0,47,0,0,22,6,5,6,0,5102.466065249898,0.02655459350303572
E02002874,E02002896,56,0,1,0,16,1,1,29,5,0,3,0,5590.757099948057,0.046566049656291846
E02002874,E02002898,150,0,1,0,66,0,2,59,7,10,5,0,6134.172133621834,0.020895970752646636
E02002874,E02002899,41,0,0,0,14,0,1,20,0,3,3,0,8185.063455211527,0.0217567236784581
E02002874,E02006834,14,0,0,0,1,1,0,8,1,0,3,0,2198.181393987854,0.02155203516292308
E02002874,E02006904,272,0,11,1,150,3,1,58,12,14,22,0,5483.345761565792,0.022355075160016835
E02002874,E02006905,79,0,1,0,24,0,0,39,10,2,2,1,6281.716555906513,0.03171190571556643
E02002875,E02002868,29,0,0,0,5,0,0,14,0,1,9,0,3219.2456315983054,0.030110260457342237
E02002875,E02002869,85,0,4,0,19,2,0,39,5,0,16,0,2960.220798190092,0.021419847353545483
E02002875,E02002871,44,0,0,0,8,0,0,14,1,2,19,0,1472.8351067316732,0.04778051165553228
E02002875,E02002872,73,0,8,0,16,0,1,31,7,5,5,0,2990.3738506210952,0.04484798947932981
E02002875,E02002873,11,0,0,0,0,0,0,5,1,0,5,0,1298.0874677908744,0.027864060411361285
E02002875,E02002874,204,0,3,0,17,0,1,63,11,1,108,0,2253.2445264923126,0.019893689114850524
E02002875,E02002875,127,0,1,0,12,0,1,38,2,3,70,0,0,0.022876210644007147
E02002875,E02002876,84,0,3,0,9,2,0,33,10,5,22,0,1220.572002412318,0.01933485914472643
E02002875,E02002877,39,0,1,0,7,0,0,26,1,1,3,0,2702.858796249277,0.02668049835744494
