Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002868,E02002868,133,0,2,0,5,2,0,40,6,2,76,0,0,0.026137908521689422,0.015037593984962405,0.021344444854306765,0.7045202668706655,3,5,0.03759398496240601,0,NA,NA
E02002868,E02002869,70,0,0,0,9,4,0,37,5,2,13,0,2431.488656180088,0.022266879284124515,0.02857142857142857,0.10790162555135277,0.2647914563421549,7,9,0.12857142857142856,2.431488656180088,2-3 km,2-4 km
E02002868,E02002871,20,0,0,0,0,1,0,13,1,0,5,0,2121.883735582328,0.022302184013827994,0,0.10559732184955183,0,2,2,0.1,2.121883735582328,2-3 km,2-4 km
E02002868,E02002872,56,0,0,0,4,1,1,42,2,1,5,0,3453.5686491363413,0.021229643273145065,0.017857142857142856,0.10879021613543685,0.1641429118489098,6,7,0.125,3.4535686491363413,3-4 km,2-4 km
E02002868,E02002873,12,0,0,0,5,0,0,7,0,0,0,0,2592.714563871737,0.024931061757843227,0,0.10855623393003036,0,1,1,0.08333333333333333,2.592714563871737,2-3 km,2-4 km
E02002868,E02002874,137,0,0,0,34,0,0,87,9,1,6,0,3461.1044046125917,0.02668049835744494,0.0072992700729927005,0.10854764291849892,0.06724485098652237,15,16,0.11678832116788321,3.4611044046125916,3-4 km,2-4 km
E02002868,E02002875,17,0,0,0,0,0,0,12,1,0,4,0,3248.358461259422,0.021019830394525273,0,0.10929041710504346,0,2,2,0.11764705882352941,3.248358461259422,3-4 km,2-4 km
E02002868,E02002876,29,0,1,0,5,0,1,19,2,1,0,0,4243.726744639874,0.024025793064684695,0.034482758620689655,0.10465995333325159,0.32947424036098927,3,4,0.13793103448275862,4.243726744639874,4-5 km,4-6 km
E02002868,E02002877,23,0,0,0,4,0,0,19,0,0,0,0,4823.3535633418815,0.029841664415420677,0,0.09998527597813696,0,2,2,0.08695652173913043,4.823353563341882,4-5 km,4-6 km
E02002868,E02002879,39,0,0,0,5,0,0,30,1,1,1,1,4968.48927435212,0.023309797305755102,0.02564102564102564,0.09899095103608747,0.2590239347400362,4,5,0.1282051282051282,4.9684892743521205,4-5 km,4-6 km
E02002868,E02002881,20,0,0,0,1,0,0,16,3,0,0,0,6673.910293571969,0.019462026690249323,0,0.08263790490494763,0,2,2,0.1,6.67391029357197,6-7 km,6-8 km
E02002868,E02002882,17,0,0,0,5,0,0,9,3,0,0,0,6462.157640001063,0.03145094488466739,0,0.08435261693439103,0,1,1,0.058823529411764705,6.462157640001062,6-7 km,6-8 km
