Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02005940,E02005940,78,0,0,1,4,0,1,26,2,19,25,0,Oxford,Oxford
E02005940,E02005941,119,0,0,4,9,0,0,42,2,33,29,0,Oxford,Oxford
E02005940,E02005942,103,0,0,1,22,0,1,35,2,31,11,0,Oxford,Oxford
E02005940,E02005945,129,0,0,0,21,0,2,67,4,27,8,0,Oxford,Oxford
E02005940,E02005946,16,0,0,0,1,0,0,11,2,2,0,0,Oxford,Oxford
E02005940,E02005947,609,0,0,4,225,0,6,90,11,242,31,0,Oxford,Oxford
E02005940,E02005948,123,0,0,0,37,0,2,27,3,44,10,0,Oxford,Oxford
E02005940,E02005949,87,0,0,0,15,0,1,42,5,23,1,0,Oxford,Oxford
E02005940,E02005950,55,0,0,0,12,0,0,24,2,14,3,0,Oxford,Oxford
E02005940,E02005952,79,0,0,0,9,0,1,51,5,12,0,1,Oxford,Oxford
E02005940,E02005954,56,0,0,0,9,0,1,34,3,7,2,0,Oxford,Oxford
E02005940,E02005955,28,0,0,0,3,0,2,19,0,4,0,0,Oxford,Oxford
E02005940,E02005956,12,0,0,0,1,0,0,10,1,0,0,0,Oxford,Oxford
E02005940,E02005978,12,0,0,0,1,0,0,10,0,1,0,0,Oxford,Oxford
E02005940,E02005979,24,0,0,1,2,0,0,18,0,3,0,0,Oxford,Oxford
E02005941,E02005940,24,0,0,0,2,0,0,6,0,4,12,0,Oxford,Oxford
E02005941,E02005941,259,0,0,5,9,0,0,30,3,54,157,1,Oxford,Oxford
E02005941,E02005942,122,0,0,0,2,0,0,21,2,45,52,0,Oxford,Oxford
E02005941,E02005945,195,0,0,2,42,0,1,83,4,58,5,0,Oxford,Oxford
E02005941,E02005946,13,0,0,0,0,0,0,10,0,2,0,1,Oxford,Oxford
E02005941,E02005947,728,0,1,3,209,2,4,70,9,342,88,0,Oxford,Oxford
E02005941,E02005948,133,0,0,0,35,0,0,15,5,58,20,0,Oxford,Oxford
E02005941,E02005949,105,0,0,0,29,0,0,42,0,33,1,0,Oxford,Oxford
E02005941,E02005950,55,0,0,0,7,1,1,26,1,14,5,0,Oxford,Oxford
E02005941,E02005951,14,0,0,0,1,0,0,10,0,3,0,0,Oxford,Oxford
E02005941,E02005952,77,0,0,0,8,0,4,46,1,14,4,0,Oxford,Oxford
E02005941,E02005954,62,0,0,0,16,0,0,30,2,14,0,0,Oxford,Oxford
E02005941,E02005955,31,0,0,0,3,0,0,18,4,1,5,0,Oxford,Oxford
E02005941,E02005956,16,0,0,0,3,0,0,10,0,2,0,1,Oxford,Oxford
E02005941,E02005979,32,0,0,0,7,0,0,20,2,2,0,1,Oxford,Oxford
E02005942,E02005940,12,0,0,0,3,0,0,3,0,5,1,0,Oxford,Oxford
E02005942,E02005941,67,0,0,1,1,0,0,18,0,24,22,1,Oxford,Oxford
E02005942,E02005942,131,0,0,3,0,0,0,24,2,48,54,0,Oxford,Oxford
E02005942,E02005945,119,0,0,2,24,0,4,44,4,36,4,1,Oxford,Oxford
E02005942,E02005946,11,0,0,0,3,0,0,7,0,1,0,0,Oxford,Oxford
E02005942,E02005947,805,0,0,2,91,0,1,54,5,374,275,3,Oxford,Oxford
E02005942,E02005948,112,0,0,0,2,0,0,12,0,57,41,0,Oxford,Oxford
E02005942,E02005949,91,0,0,3,15,0,2,29,1,39,2,0,Oxford,Oxford
E02005942,E02005950,38,0,0,0,3,0,0,12,1,17,5,0,Oxford,Oxford
E02005942,E02005952,49,0,0,0,5,0,0,37,1,4,2,0,Oxford,Oxford
E02005942,E02005954,43,0,0,1,4,0,1,26,2,8,1,0,Oxford,Oxford
E02005942,E02005955,37,0,0,0,4,0,1,24,1,6,1,0,Oxford,Oxford
E02005942,E02005979,30,0,0,0,0,0,1,19,0,9,1,0,Oxford,Oxford
E02005943,E02005940,18,0,0,0,4,0,0,10,0,4,0,0,Oxford,Oxford
E02005943,E02005941,44,0,0,0,2,0,0,17,4,19,2,0,Oxford,Oxford
