Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02005940,E02005940,78,0,0,1,4,0,1,26,2,19,25,0,0,NaN
E02005940,E02005941,119,0,0,4,9,0,0,42,2,33,29,0,1244.0801239842071,0.011527007917241209
E02005940,E02005942,103,0,0,1,22,0,1,35,2,31,11,0,2015.4511395237105,0.009479390166245025
E02005940,E02005945,129,0,0,0,21,0,2,67,4,27,8,0,5664.034658380721,0.014973859968839804
E02005940,E02005946,16,0,0,0,1,0,0,11,2,2,0,0,6858.528102463731,0.013590173237284741
E02005940,E02005947,609,0,0,4,225,0,6,90,11,242,31,0,3975.78260388667,0.008176944499681147
E02005940,E02005948,123,0,0,0,37,0,2,27,3,44,10,0,4393.852303157863,0.010065914959384257
E02005940,E02005949,87,0,0,0,15,0,1,42,5,23,1,0,7599.045424768285,0.014158906483920966
E02005940,E02005950,55,0,0,0,12,0,0,24,2,14,3,0,5816.575018724068,0.009625733785336653
E02005940,E02005952,79,0,0,0,9,0,1,51,5,12,0,1,8215.78603072224,0.0124390487685148
E02005940,E02005954,56,0,0,0,9,0,1,34,3,7,2,0,8124.533982490118,0.01039247851033299
E02005940,E02005955,28,0,0,0,3,0,2,19,0,4,0,0,9024.77832348553,0.012051983566562738
E02005940,E02005956,12,0,0,0,1,0,0,10,1,0,0,0,10172.496372658818,0.010474358029548684
E02005940,E02005978,12,0,0,0,1,0,0,10,0,1,0,0,7759.09873134104,0.014831405740150502
E02005940,E02005979,24,0,0,1,2,0,0,18,0,3,0,0,7260.228187352764,0.019052030842452838
E02005941,E02005940,24,0,0,0,2,0,0,6,0,4,12,0,1244.080123984207,0.010138400367874978
E02005941,E02005941,259,0,0,5,9,0,0,30,3,54,157,1,0,0.010368596567798396
E02005941,E02005942,122,0,0,0,2,0,0,21,2,45,52,0,1580.5406604759187,0.013311863447116478
E02005941,E02005945,195,0,0,2,42,0,1,83,4,58,5,0,4624.332447625041,0.009734090255694472
E02005941,E02005946,13,0,0,0,0,0,0,10,0,2,0,1,6141.861700623497,0.01124185423309637
E02005941,E02005947,728,0,1,3,209,2,4,70,9,342,88,0,3540.872124838879,0.01152723386335681
E02005941,E02005948,133,0,0,0,35,0,0,15,5,58,20,0,3958.9418241100725,NaN
E02005941,E02005949,105,0,0,0,29,0,0,42,0,33,1,0,6409.168925790574,0.00615840591958132
E02005941,E02005950,55,0,0,0,7,1,1,26,1,14,5,0,5049.451307809455,0.01531522668892206
E02005941,E02005951,14,0,0,0,1,0,0,10,0,3,0,0,5173.774848596323,0.013437540535673316
E02005941,E02005952,77,0,0,0,8,0,4,46,1,14,4,0,7826.193311978856,0.009427280809544318
E02005941,E02005954,62,0,0,0,16,0,0,30,2,14,0,0,7357.410271575505,0.008796423530023353
E02005941,E02005955,31,0,0,0,3,0,0,18,4,1,5,0,8589.867844437742,0.01456900903813972
E02005941,E02005956,16,0,0,0,3,0,0,10,0,2,0,1,9405.372661744206,0.00984302691873645
E02005941,E02005979,32,0,0,0,7,0,0,20,2,2,0,1,6825.31770830497,0.012944461286352946
E02005942,E02005940,12,0,0,0,3,0,0,3,0,5,1,0,2015.4511395237107,0.010639035884310432
E02005942,E02005941,67,0,0,1,1,0,0,18,0,24,22,1,1588.0744175914374,0.012489638722468766
E02005942,E02005942,131,0,0,3,0,0,0,24,2,48,54,0,0,0.010671061954667138
E02005942,E02005945,119,0,0,2,24,0,4,44,4,36,4,1,4340.732811228732,0.014461124833332617
E02005942,E02005946,11,0,0,0,3,0,0,7,0,1,0,0,6094.868135876105,0.018953441769378708
E02005942,E02005947,805,0,0,2,91,0,1,54,5,374,275,3,1969.6373111325752,0.011023308037285537
