Area of residence,Area of workplace,potential_demand
E02005940,E02005940,19
E02005940,E02005941,45
E02005940,E02005942,48
E02005940,E02005945,45
E02005940,E02005946,4
E02005940,E02005947,315
E02005940,E02005948,58
E02005940,E02005949,27
E02005940,E02005950,21
E02005940,E02005952,18
E02005940,E02005954,13
E02005940,E02005955,5
E02005940,E02005956,1
E02005940,E02005978,2
E02005940,E02005979,6
E02005941,E02005940,6
E02005941,E02005941,54
E02005941,E02005942,49
E02005941,E02005945,89
E02005941,E02005946,4
E02005941,E02005947,393
E02005941,E02005948,66
E02005941,E02005949,43
E02005941,E02005950,21
E02005941,E02005951,5
E02005941,E02005952,20
E02005941,E02005954,19
E02005941,E02005955,3
E02005941,E02005956,3
E02005941,E02005979,7
E02005942,E02005940,6
E02005942,E02005941,28
E02005942,E02005942,48
E02005942,E02005945,52
E02005942,E02005946,3
E02005942,E02005947,401
E02005942,E02005948,60
E02005942,E02005949,44
E02005942,E02005950,20
E02005942,E02005952,12
E02005942,E02005954,15
E02005942,E02005955,11
E02005942,E02005979,12
E02005943,E02005940,7
E02005943,E02005941,23
E02005943,E02005942,48
E02005943,E02005943,21
E02005943,E02005944,3
E02005943,E02005945,145
E02005943,E02005946,11
E02005943,E02005947,393
E02005943,E02005948,53
E02005943,E02005949,74
E02005943,E02005950,47
E02005943,E02005952,42
E02005943,E02005953,7
E02005943,E02005954,39
E02005943,E02005955,14
E02005943,E02005956,3
E02005943,E02005957,6
E02005943,E02005979,10
E02005944,E02005940,5
E02005944,E02005941,18
E02005944,E02005942,10
E02005944,E02005943,6
E02005944,E02005944,3
E02005944,E02005945,137
E02005944,E02005946,17
E02005944,E02005947,159
E02005944,E02005948,21
E02005944,E02005949,82
E02005944,E02005950,21
E02005944,E02005952,98
E02005944,E02005953,3
E02005944,E02005954,32
E02005944,E02005955,14
E02005944,E02005956,13
E02005944,E02005957,3
E02005944,E02005979,3
E02005945,E02005940,7
E02005945,E02005941,23
E02005945,E02005942,27
E02005945,E02005943,6
E02005945,E02005944,5
E02005945,E02005945,152
E02005945,E02005946,16
E02005945,E02005947,349
E02005945,E02005948,67
E02005945,E02005949,123
E02005945,E02005950,37
E02005945,E02005952,53
E02005945,E02005953,4
E02005945,E02005954,48
E02005945,E02005955,23
E02005945,E02005956,4
E02005945,E02005979,13
E02005946,E02005940,2
E02005946,E02005941,18
E02005946,E02005942,14
E02005946,E02005944,3
E02005946,E02005945,214
E02005946,E02005946,14
E02005946,E02005947,216
E02005946,E02005948,45
E02005946,E02005949,129
E02005946,E02005950,35
E02005946,E02005951,3
E02005946,E02005952,115
E02005946,E02005953,5
E02005946,E02005954,45
E02005946,E02005955,27
E02005946,E02005956,13
E02005946,E02005979,5
E02005947,E02005941,17
E02005947,E02005942,26
E02005947,E02005945,56
E02005947,E02005946,5
E02005947,E02005947,348
E02005947,E02005948,29
E02005947,E02005949,37
E02005947,E02005950,24
E02005947,E02005952,19
E02005947,E02005953,7
E02005947,E02005954,24
E02005947,E02005955,15
E02005947,E02005979,14
E02005948,E02005940,7
E02005948,E02005941,25
E02005948,E02005942,25
E02005948,E02005945,56
E02005948,E02005946,5
E02005948,E02005947,302
E02005948,E02005948,36
E02005948,E02005949,49
E02005948,E02005950,24
E02005948,E02005952,32
E02005948,E02005954,30
E02005948,E02005955,9
E02005948,E02005978,6
E02005948,E02005979,22
E02005949,E02005941,4
E02005949,E02005942,14
E02005949,E02005945,138
E02005949,E02005946,17
E02005949,E02005947,175
E02005949,E02005948,26
E02005949,E02005949,55
E02005949,E02005950,27
E02005949,E02005952,86
E02005949,E02005954,26
E02005949,E02005955,21
E02005949,E02005956,14
E02005949,E02005957,6
E02005949,E02005979,1
E02005950,E02005940,10
E02005950,E02005941,19
E02005950,E02005942,30
E02005950,E02005943,6
E02005950,E02005945,123
E02005950,E02005946,10
E02005950,E02005947,532
E02005950,E02005948,93
E02005950,E02005949,97
E02005950,E02005950,54
E02005950,E02005951,4
E02005950,E02005952,64
E02005950,E02005953,8
E02005950,E02005954,58
E02005950,E02005955,29
E02005950,E02005956,15
E02005950,E02005957,4
E02005950,E02005978,3
E02005950,E02005979,22
E02005951,E02005941,17
E02005951,E02005942,14
E02005951,E02005945,53
E02005951,E02005946,3
E02005951,E02005947,350
E02005951,E02005948,82
E02005951,E02005949,56
E02005951,E02005950,41
E02005951,E02005951,11
E02005951,E02005952,35
E02005951,E02005953,7
E02005951,E02005954,47
E02005951,E02005955,20
E02005951,E02005956,5
E02005951,E02005978,6
E02005951,E02005979,16
E02005952,E02005940,10
E02005952,E02005941,16
E02005952,E02005942,26
E02005952,E02005943,9
E02005952,E02005944,9
E02005952,E02005945,229
E02005952,E02005946,27
E02005952,E02005947,494
E02005952,E02005948,123
E02005952,E02005949,149
E02005952,E02005950,111
E02005952,E02005951,7
E02005952,E02005952,181
E02005952,E02005953,21
E02005952,E02005954,90
E02005952,E02005955,79
E02005952,E02005956,36
E02005952,E02005957,7
E02005952,E02005978,4
E02005952,E02005979,17
E02005953,E02005940,7
E02005953,E02005941,20
E02005953,E02005942,22
E02005953,E02005945,69
E02005953,E02005946,4
E02005953,E02005947,287
E02005953,E02005948,58
E02005953,E02005949,67
E02005953,E02005950,51
E02005953,E02005951,7
E02005953,E02005952,61
E02005953,E02005953,12
E02005953,E02005954,57
E02005953,E02005955,29
E02005953,E02005956,4
E02005953,E02005957,4
E02005953,E02005979,14
E02005954,E02005940,9
E02005954,E02005941,10
E02005954,E02005942,26
E02005954,E02005945,113
E02005954,E02005946,10
E02005954,E02005947,431
E02005954,E02005948,88
E02005954,E02005949,75
E02005954,E02005950,77
E02005954,E02005951,5
E02005954,E02005952,153
E02005954,E02005953,16
E02005954,E02005954,58
E02005954,E02005955,57
E02005954,E02005956,23
E02005954,E02005957,16
E02005954,E02005978,3
E02005954,E02005979,19
E02005955,E02005940,3
E02005955,E02005941,9
E02005955,E02005942,12
E02005955,E02005943,6
E02005955,E02005945,87
E02005955,E02005946,9
E02005955,E02005947,257
E02005955,E02005948,50
E02005955,E02005949,69
E02005955,E02005950,63
E02005955,E02005951,10
E02005955,E02005952,206
E02005955,E02005953,16
E02005955,E02005954,76
E02005955,E02005955,55
E02005955,E02005956,30
E02005955,E02005957,10
E02005955,E02005978,2
E02005955,E02005979,15
E02005956,E02005940,1
E02005956,E02005941,2
E02005956,E02005942,3
E02005956,E02005945,52
E02005956,E02005946,6
E02005956,E02005947,103
E02005956,E02005948,15
E02005956,E02005949,34
E02005956,E02005950,20
E02005956,E02005952,143
E02005956,E02005953,3
E02005956,E02005954,45
E02005956,E02005955,42
E02005956,E02005956,17
E02005956,E02005957,13
E02005956,E02005978,1
E02005956,E02005979,3
E02005957,E02005940,1
E02005957,E02005941,2
E02005957,E02005942,4
E02005957,E02005945,38
E02005957,E02005946,7
E02005957,E02005947,90
E02005957,E02005948,14
E02005957,E02005949,26
E02005957,E02005950,23
E02005957,E02005951,4
E02005957,E02005952,158
E02005957,E02005953,5
E02005957,E02005954,59
E02005957,E02005955,50
E02005957,E02005956,32
E02005957,E02005957,8
E02005957,E02005978,1
E02005957,E02005979,5
E02005978,E02005940,3
E02005978,E02005941,10
E02005978,E02005942,9
E02005978,E02005945,21
E02005978,E02005946,2
E02005978,E02005947,186
E02005978,E02005948,60
E02005978,E02005949,10
E02005978,E02005950,13
E02005978,E02005952,21
E02005978,E02005953,2
