Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups
E02005940,E02005940,78,0,0,1,4,0,1,26,2,19,25,0,0,0.014413331336622707,0.24358974358974358,0.03738454023608098,6.515788131978885,34,0.19507607403445762,0.1976937561058086,19,0.24358974358974358,0,NA
E02005940,E02005941,119,0,0,4,9,0,0,42,2,33,29,0,1244.0801239842071,0.011527007917241209,0.2773109243697479,0.24010166828960758,1.1549729177027583,57,11.849451084730786,12.008456210363832,45,0.37815126050420167,1.2440801239842072,"(1,2]"
E02005940,E02005942,103,0,0,1,22,0,1,35,2,31,11,0,2015.4511395237105,0.009479390166245025,0.30097087378640774,0.2898650484007474,1.038313778935866,61,17.02931070660264,17.25782320637883,48,0.46601941747572817,2.0154511395237105,"(2,3]"
E02005940,E02005945,129,0,0,0,21,0,2,67,4,27,8,0,5664.034658380721,0.014973859968839804,0.20930232558139536,0.19862737324974872,1.053743611250521,94,17.718705846594663,17.95646918508578,45,0.3488372093023256,5.6640346583807215,"(5,6]"
E02005940,E02005946,16,0,0,0,1,0,0,11,2,2,0,0,6858.528102463731,0.013590173237284741,0.125,0.15753181052225354,0.7934905311225509,14,2.2054453473115494,2.235039723626413,4,0.25,6.858528102463731,"(6,7]"
E02005940,E02005947,609,0,0,4,225,0,6,90,11,242,31,0,3975.78260388667,0.008176944499681147,0.3973727422003284,0.29096546927239764,1.3657041270017984,336,71.58534249299875,72.54593014344708,315,0.5172413793103449,3.97578260388667,"(3,4]"
E02005940,E02005948,123,0,0,0,37,0,2,27,3,44,10,0,4393.852303157863,0.010065914959384257,0.35772357723577236,0.2683256939090148,1.3331692989381443,69,13.887563188312697,14.0739172830049,58,0.4715447154471545,4.393852303157863,"(4,5]"
E02005940,E02005949,87,0,0,0,15,0,1,42,5,23,1,0,7599.325597056715,0.014158384711637518,0.26436781609195403,0.1280568853920005,2.064456083581029,63,3.9078495512008704,3.9602881075863583,27,0.3103448275862069,7.5993255970567155,"(7,8]"
E02005940,E02005950,55,0,0,0,12,0,0,24,2,14,3,0,5816.575018724068,0.009625733785336653,0.2545454545454545,0.21629447374296293,1.1768467781009873,38,6.984078263353403,7.077796042662737,21,0.38181818181818183,5.816575018724068,"(5,6]"
E02005940,E02005952,79,0,0,0,9,0,1,51,5,12,0,1,8215.78603072224,0.0124390487685148,0.1518987341772152,0.11168633096760418,1.3600476697660975,67,5.502001393904386,5.575831516212608,18,0.22784810126582278,8.21578603072224,"(8,9]"
E02005940,E02005954,56,0,0,0,9,0,1,34,3,7,2,0,8124.533982490118,0.01039247851033299,0.125,0.12050536433757215,1.0372982205990184,47,5.460100105633258,5.533367963954896,13,0.23214285714285715,8.124533982490119,"(8,9]"
E02005940,E02005955,28,0,0,0,3,0,2,19,0,4,0,0,9024.77832348553,0.012051983566562738,0.14285714285714285,0.08749885612502609,1.6326744049432595,24,1.2862163702955867,1.3034758192006646,5,0.17857142857142858,9.024778323485531,"(9,10]"
E02005940,E02005956,12,0,0,0,1,0,0,10,1,0,0,0,10172.496372658818,0.010474358029548684,0,0.06129630787505251,0,12,0.7355556945006301,0.7454259513401968,1,0.08333333333333333,10.172496372658818,"(10,11]"
E02005940,E02005978,12,0,0,0,1,0,0,10,0,1,0,0,7759.09873134104,0.014831405740150502,0.08333333333333333,0.12050444954443447,0.6915373967382443,11,1.3255489449887792,1.3433361888892406,2,0.16666666666666666,7.75909873134104,"(7,8]"
E02005940,E02005979,24,0,0,1,2,0,0,18,0,3,0,0,7260.228187352764,0.019052030842452838,0.125,0.12512736157133122,0.9989821445147421,21,2.627674592997956,2.662934768831822,6,0.25,7.260228187352763,"(7,8]"
E02005941,E02005940,24,0,0,0,2,0,0,6,0,4,12,0,1244.080123984207,0.010138400367874978,0.16666666666666666,0.24702296705467902,0.674701096233593,8,1.9761837364374322,2.0027017026317586,6,0.25,1.244080123984207,"(1,2]"
E02005941,E02005941,259,0,0,5,9,0,0,30,3,54,157,1,0,0.010368596567798396,0.2084942084942085,0.0415282397070316,5.020540479564465,48,0.3970400226930232,0.40236781367998314,54,0.2084942084942085,0,NA
E02005941,E02005942,122,0,0,0,2,0,0,21,2,45,52,0,1580.5406604759187,0.013311863447116478,0.36885245901639346,0.25195362538828314,1.4639696430164826,25,4.302575989026954,4.360311290923135,49,0.4016393442622951,1.5805406604759187,"(1,2]"
E02005941,E02005945,195,0,0,2,42,0,1,83,4,58,5,0,4624.332447625041,0.009734090255694472,0.29743589743589743,0.26238679810128995,1.1335779832988295,132,30.55374915502387,30.963743060076183,89,0.4564102564102564,4.624332447625041,"(4,5]"
E02005941,E02005946,13,0,0,0,0,0,0,10,0,2,0,1,6141.861700623497,0.01124185423309637,0.15384615384615385,0.19558368449171226,0.7866001412437498,11,2.151420529408835,2.1802899588129514,4,0.3076923076923077,6.1418617006234975,"(6,7]"
E02005941,E02005947,728,0,1,3,209,2,4,70,9,342,88,0,3540.872124838879,0.01152723386335681,0.4697802197802198,0.28221456068546985,1.6646207716539232,298,50.52198105200294,51.19992418092608,393,0.5398351648351648,3.5408721248388786,"(3,4]"
E02005941,E02005948,133,0,0,0,35,0,0,15,5,58,20,0,3958.9418241100725,0.014413331336622707,0.43609022556390975,0.257834730983814,1.6913556366123772,55,8.384345608421402,8.49685326107848,66,0.49624060150375937,3.9589418241100724,"(3,4]"
E02005941,E02005949,105,0,0,0,29,0,0,42,0,33,1,0,6409.148779981201,0.00615840591958132,0.3142857142857143,0.20613953452515904,1.52462609857769,71,9.599669692746305,9.728485506627996,43,0.4095238095238095,6.4091487799812015,"(6,7]"
E02005941,E02005950,55,0,0,0,7,1,1,26,1,14,5,0,5049.451307809455,0.01531522668892206,0.2545454545454545,0.21982739113567387,1.1579332913447224,36,6.834405867797342,6.926115226810324,21,0.38181818181818183,5.049451307809455,"(5,6]"
E02005941,E02005951,14,0,0,0,1,0,0,10,0,3,0,0,5173.774848596323,0.013437540535673316,0.21428571428571427,0.2240914988383695,0.9562420502183894,11,2.4650064872220647,2.498083856239781,5,0.35714285714285715,5.173774848596323,"(5,6]"
E02005941,E02005952,77,0,0,0,8,0,4,46,1,14,4,0,7826.193311978856,0.009427280809544318,0.18181818181818182,0.13433099773998206,1.353508757302007,59,5.855543101514286,5.934117320678393,20,0.2597402597402597,7.826193311978856,"(7,8]"
