MSOA11CD,MSOA11NM,TCITY15CD,city,FID
E02005941,Oxford 002,J01000070,Oxford,5656
E02005942,Oxford 003,J01000070,Oxford,5661
E02005943,Oxford 004,J01000070,Oxford,5670
E02005944,Oxford 005,J01000070,Oxford,5677
E02005945,Oxford 006,J01000070,Oxford,5684
E02005946,Oxford 007,J01000070,Oxford,5691
E02005947,Oxford 008,J01000070,Oxford,5698
E02005948,Oxford 009,J01000070,Oxford,5759
E02005949,Oxford 010,J01000070,Oxford,5765
E02005950,Oxford 011,J01000070,Oxford,5771
E02005952,Oxford 013,J01000070,Oxford,5777
E02005953,Oxford 014,J01000070,Oxford,5783
E02005954,Oxford 015,J01000070,Oxford,5789
E02005955,Oxford 016,J01000070,Oxford,5795
E02005956,Oxford 017,J01000070,Oxford,5832
E02005957,Oxford 018,J01000070,Oxford,5836
E02005940,Oxford 001,J01000070,Oxford,5915
E02005979,Vale of White Horse 002,J01000070,Oxford,5950
E02005978,Vale of White Horse 001,J01000070,Oxford,7128
E02005951,Oxford 012,J01000070,Oxford,7129
